function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,B,B,True,
AddNewRoom,C,C,True,
AddNewRoomScreen,B,C,False,
AddNewUser,A,A,True,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,C,C,True,
DeleteReservationByID,B,A,False,
DeleteReservationScreen,B,B,True,
DeleteRoomByID,D,C,False,
DeleteRoomScreen,A,A,True,
DeleteUserByID,D,B,False,
DeleteUserScreen,A,A,True,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,D,D,True,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,D,A,False,
DisplayUserCard,D,D,True,
DisplayUserListScreen,A,A,True,
ExitScreen,C,C,True,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,B,C,False,
MainMenu,C,A,False,
PauseProgram,B,D,False,
ReadDate,C,C,True,
ReadIntBetween,D,D,True,
ReadReservationInfo,B,A,False,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,C,C,True,
ReadTime,D,D,True,
ReadUserInfo,C,D,False,
ReservationManagementMenu,C,D,False,
RoomManagementMenu,A,C,False,
ScreenHeader,C,C,True,
SearchReservationByID,B,B,True,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,B,B,True,
SearchRoomByName,D,D,True,
SearchRoomByNameScreen,A,A,True,
SearchUserByFirstName,B,C,False,
SearchUserByFirstNameScreen,A,C,False,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,B,B,True,
SwapReservationData,D,C,False,
UserManagementMenu,D,A,False,
main,C,C,True,
