id,function,field,semantic_similarity,bleu,completeness,f1_score,sbc
F001,PauseProgram,trigger,0.5572817921638489,0.036581212462211535,0.29411764705882354,0.33333333333333337,0.4526
F001,PauseProgram,action,0.8924110531806946,0.0712695567709093,0.6153846153846154,0.5161290322580646,0.7549
F001,PauseProgram,effect,0.6440162062644958,0.011502783619900045,0.1,0.08,0.472
F001,PauseProgram,constraint,0.6299803853034973,0.009152541620698935,0.3076923076923077,0.2,0.5034
F002,ScreenHeader,trigger,0.706658124923706,0.02872495348091206,0.45454545454545453,0.3448275862068966,0.5884
F002,ScreenHeader,action,0.7793143391609192,0.23713320246552005,0.5263157894736842,0.5128205128205129,0.6745
F002,ScreenHeader,effect,0.813544511795044,0.062284969540134474,0.4,0.38709677419354843,0.6557
F002,ScreenHeader,constraint,0.5495550632476807,0.0,0.0,0.0,0.3847
F003,ReadIntBetween,trigger,0.7720444798469543,0.018002829271425148,0.5,0.4444444444444445,0.6422
F003,ReadIntBetween,action,0.8438635468482971,0.2404817938984655,0.6842105263157895,0.6500000000000001,0.7516
F003,ReadIntBetween,effect,0.5355511903762817,0.16943571815930883,0.4,0.4000000000000001,0.4718
F003,ReadIntBetween,constraint,0.833789050579071,0.046340057369294134,0.4,0.34285714285714286,0.6683
F004,ReadDate,trigger,0.8049712777137756,0.17534823156623092,0.8181818181818182,0.6923076923076923,0.7447
F004,ReadDate,action,0.7604479193687439,0.28845712954906627,0.5185185185185185,0.5833333333333334,0.6649
F004,ReadDate,effect,0.782774031162262,0.18295654224495206,0.5,0.48484848484848486,0.6662
F004,ReadDate,constraint,0.6556941270828247,0.025639245965674077,0.29411764705882354,0.29411764705882354,0.5204
F005,ReadTime,trigger,0.8226521611213684,0.17534823156623092,0.5625,0.5806451612903225,0.7059
F005,ReadTime,action,0.7065051794052124,0.19230646305118726,0.4,0.46511627906976744,0.5938
F005,ReadTime,effect,0.647723913192749,0.030232667130855925,0.375,0.33333333333333326,0.5314
F005,ReadTime,constraint,0.4859665334224701,0.009337534921653758,0.21739130434782608,0.20408163265306123,0.3846
F006,IsDate1BeforeDate2,trigger,0.8731452822685242,0.16617429299578945,0.6363636363636364,0.5,0.7551
F006,IsDate1BeforeDate2,action,0.7780101895332336,0.12487575251875122,0.5,0.5405405405405405,0.6571
F006,IsDate1BeforeDate2,effect,0.6804853081703186,0.013481992522898105,0.4117647058823529,0.39999999999999997,0.56
F006,IsDate1BeforeDate2,constraint,0.710055410861969,0.023856519958101785,0.3,0.33333333333333326,0.5594
F007,IsTime1BeforeTime2,trigger,0.7449662089347839,0.024289783953423513,0.45454545454545453,0.3333333333333333,0.6148
F007,IsTime1BeforeTime2,action,0.8638293147087097,0.18239905452001884,0.6111111111111112,0.5641025641025642,0.7451
F007,IsTime1BeforeTime2,effect,0.812600314617157,0.06433175422776263,0.7058823529411765,0.6315789473684211,0.7164
F007,IsTime1BeforeTime2,constraint,0.5493056178092957,0.016317456445879727,0.20689655172413793,0.2553191489361702,0.4275
F008,ExitScreen,trigger,0.8267409205436707,0.3573880113629119,0.45454545454545453,0.5,0.7054
