id,function,field,ref,gen,ref_tokens,gen_tokens,semantic_similarity,bleu,completeness,f1_score,sbc
F001,PauseProgram,trigger,ユーザーが前の処理を終え、メインメニューに戻るタイミングで実行される,ユーザーがプログラムを一時停止する必要があるとき。,ユーザー が 前 の 処理 を 終え 、 メイン メニュー に 戻る タイミング で 実行 さ れる,ユーザー が プログラム を 一時 停止 する 必要 が ある とき 。,0.4844647943973541,0.02627968585443437,0.17647058823529413,0.21428571428571427,0.377
F001,PauseProgram,action,Enterキーを押すようにユーザーに促し、その入力を待機する,標準出力にメッセージを表示し、ユーザーのEnterキー入力を待機する。,Enter キー を 押す よう に ユーザー に 促し 、 その 入力 を 待機 する,標準 出力 に メッセージ を 表示 し 、 ユーザー の Enter キー 入力 を 待機 する 。,0.7677110433578491,0.1934529902282619,0.6923076923076923,0.6206896551724138,0.6952
F001,PauseProgram,effect,ユーザーの任意のタイミングでメニューに戻れるようにする,ユーザーがEnterキーを押すと、プログラムがメインメニューに戻る。,ユーザー の 任意 の タイミング で メニュー に 戻れる よう に する,ユーザー が Enter キー を 押す と 、 プログラム が メイン メニュー に 戻る 。,0.7525471448898315,0.030934588294313718,0.3,0.25,0.5899
F001,PauseProgram,constraint,標準入力から1文字以上が入力されるまで次に進まない,ユーザーはEnterキーを押さなければ次の処理に進まない。,標準 入力 から 1 文字 以上 が 入力 さ れる まで 次に 進ま ない,ユーザー は Enter キー を 押さ なけれ ば 次 の 処理 に 進ま ない 。,0.8186574578285217,0.027952555963587523,0.15384615384615385,0.14285714285714288,0.6066
F002,ScreenHeader,trigger,画面をクリアし、操作画面に見出しを表示したいとき,関数が呼び出されるとき。,画面 を クリア し 、 操作 画面 に 見出し を 表示 し たい とき,関数 が 呼び出さ れる とき 。,0.44925597310066223,0.010761308100691222,0.09090909090909091,0.11764705882352942,0.3337
F002,ScreenHeader,action,コンソール画面をクリアし、引数で与えられたタイトル文字列を目立つ枠で囲んで表示する,画面をクリアし、指定されたタイトルを装飾ラインで囲んで表示する。,コンソール 画面 を クリア し 、 引数 で 与え られ た タイトル 文字 列 を 目立つ 枠 で 囲ん で 表示 する,画面 を クリア し 、 指定 さ れ た タイトル を 装飾 ライン で 囲ん で 表示 する 。,0.8181153535842896,0.3559407493488011,0.5789473684210527,0.6111111111111113,0.7241
F002,ScreenHeader,effect,画面に見出しが強調され、処理の開始や区切りが明確になる,標準出力にタイトルが装飾ラインと共に表示される。,画面 に 見出し が 強調 さ れ 、 処理 の 開始 や 区切り が 明確 に なる,標準 出力 に タイトル が 装飾 ライン と共に 表示 さ れる 。,0.7045949101448059,0.014778153368968696,0.2,0.22222222222222224,0.5347
F002,ScreenHeader,constraint,Windows環境で 'cls' コマンドが有効である必要がある,タイトルはMAX_STRING_SIZEの制限内である必要がある。,Windows 環境 で   ' cls '   コマンド が 有効 で ある 必要 が ある,タイトル は MAX _ STRING _ SIZE の 制限 内 で ある 必要 が ある 。,0.6951645612716675,0.22894156860669912,0.36363636363636365,0.32,0.5822
F003,ReadIntBetween,trigger,ユーザーに特定の範囲内の整数入力を求めたいとき,ユーザーが整数を入力することを求められたとき。,ユーザー に 特定 の 範囲 内 の 整数 入力 を 求め たい とき,ユーザー が 整数 を 入力 する こと を 求め られ た とき 。,0.833840548992157,0.04324227075463215,0.5,0.5,0.688
F003,ReadIntBetween,action,標準入力から整数値を読み取り、指定された範囲に収まるまで繰り返し再入力を求める,ユーザーに整数を入力させ、その値を取得する。,標準 入力 から 整数 値 を 読み取り 、 指定 さ れ た 範囲 に 収まる まで 繰り返し 再 入力 を 求める,ユーザー に 整数 を 入力 さ せ 、 その 値 を 取得 する 。,0.700178325176239,0.025909791967249622,0.3684210526315789,0.4375,0.5664
