id,function,field,semantic_similarity,bleu,completeness,f1_score,sbc
F001,PauseProgram,trigger,0.5689629912376404,0.03058760346458022,0.29411764705882354,0.29411764705882354,0.4602
F001,PauseProgram,action,0.7677110433578491,0.1934529902282619,0.6923076923076923,0.6206896551724138,0.6952
F001,PauseProgram,effect,0.7525471448898315,0.030934588294313718,0.3,0.25,0.5899
F001,PauseProgram,constraint,0.6076202392578125,0.008830895300928163,0.3076923076923077,0.2,0.4878
F002,ScreenHeader,trigger,0.6826457977294922,0.010713701843513142,0.36363636363636365,0.24242424242424246,0.5517
F002,ScreenHeader,action,0.738386869430542,0.2343888321664969,0.47368421052631576,0.5142857142857142,0.635
F002,ScreenHeader,effect,0.813544511795044,0.062284969540134474,0.4,0.38709677419354843,0.6557
F002,ScreenHeader,constraint,0.4490562975406647,0.0,0.0,0.0,0.3143
F003,ReadIntBetween,trigger,0.833840548992157,0.04324227075463215,0.5,0.5,0.688
F003,ReadIntBetween,action,0.8118552565574646,0.19850823739068116,0.5789473684210527,0.5641025641025641,0.7039
F003,ReadIntBetween,effect,0.5537052154541016,0.18207052811092134,0.4,0.4137931034482759,0.4858
F003,ReadIntBetween,constraint,0.7533703446388245,0.13076558875109015,0.4,0.37500000000000006,0.6204
F004,ReadDate,trigger,0.8049712777137756,0.17534823156623092,0.8181818181818182,0.6923076923076923,0.7447
F004,ReadDate,action,0.7604479193687439,0.28845712954906627,0.5185185185185185,0.5833333333333334,0.6649
F004,ReadDate,effect,0.685110867023468,0.03187271473320672,0.375,0.3636363636363636,0.5578
F004,ReadDate,constraint,0.6421352028846741,0.026886325725138435,0.29411764705882354,0.28571428571428575,0.511
F005,ReadTime,trigger,0.8226521611213684,0.17534823156623092,0.5625,0.5806451612903225,0.7059
F005,ReadTime,action,0.7065051794052124,0.19230646305118726,0.4,0.46511627906976744,0.5938
F005,ReadTime,effect,0.6287420392036438,0.03807134866446317,0.375,0.375,0.5189
F005,ReadTime,constraint,0.45801064372062683,0.00685595092162731,0.08695652173913043,0.11428571428571427,0.3387
