id,function,field,ref,gen,ref_tokens,gen_tokens,semantic_similarity,bleu,completeness,f1_score,sbc
F001,PauseProgram,trigger,ユーザーが前の処理を終え、メインメニューに戻るタイミングで実行される,ユーザーがEnterキーを押すことを促すメッセージが表示される。,ユーザー が 前 の 処理 を 終え 、 メイン メニュー に 戻る タイミング で 実行 さ れる,ユーザー が Enter キー を 押す こと を 促す メッセージ が 表示 さ れる 。,0.5572817921638489,0.036581212462211535,0.29411764705882354,0.33333333333333337,0.4526
F001,PauseProgram,action,Enterキーを押すようにユーザーに促し、その入力を待機する,ユーザーの入力を待機し、Enterキーが押されると次の処理に進む。,Enter キー を 押す よう に ユーザー に 促し 、 その 入力 を 待機 する,ユーザー の 入力 を 待機 し 、 Enter キー が 押さ れる と 次 の 処理 に 進む 。,0.8924110531806946,0.0712695567709093,0.6153846153846154,0.5161290322580646,0.7549
F001,PauseProgram,effect,ユーザーの任意のタイミングでメニューに戻れるようにする,プログラムが一時停止し、ユーザーがEnterキーを押すまで進行しない。,ユーザー の 任意 の タイミング で メニュー に 戻れる よう に する,プログラム が 一時 停止 し 、 ユーザー が Enter キー を 押す まで 進行 し ない 。,0.6440162062644958,0.011502783619900045,0.1,0.08,0.472
F001,PauseProgram,constraint,標準入力から1文字以上が入力されるまで次に進まない,Enterキー以外の入力に対するエラー処理は実装されていないため、意図した動作をしない可能性がある。,標準 入力 から 1 文字 以上 が 入力 さ れる まで 次に 進ま ない,Enter キー 以外 の 入力 に対する エラー 処理 は 実装 さ れ て い ない ため 、 意図 し た 動作 を し ない 可能 性 が ある 。,0.6299803853034973,0.009152541620698935,0.3076923076923077,0.2,0.5034
F002,ScreenHeader,trigger,画面をクリアし、操作画面に見出しを表示したいとき,コンソールアプリケーションで画面のヘッダーを表示する必要があるときに呼び出されます。,画面 を クリア し 、 操作 画面 に 見出し を 表示 し たい とき,コンソール アプリケーション で 画面 の ヘッダー を 表示 する 必要 が ある とき に 呼び出さ れ ます 。,0.706658124923706,0.02872495348091206,0.45454545454545453,0.3448275862068966,0.5884
F002,ScreenHeader,action,コンソール画面をクリアし、引数で与えられたタイトル文字列を目立つ枠で囲んで表示する,画面をクリアし、指定されたタイトルを装飾ラインで囲んで標準出力に表示します。,コンソール 画面 を クリア し 、 引数 で 与え られ た タイトル 文字 列 を 目立つ 枠 で 囲ん で 表示 する,画面 を クリア し 、 指定 さ れ た タイトル を 装飾 ライン で 囲ん で 標準 出力 に 表示 し ます 。,0.7793143391609192,0.23713320246552005,0.5263157894736842,0.5128205128205129,0.6745
F002,ScreenHeader,effect,画面に見出しが強調され、処理の開始や区切りが明確になる,標準出力にタイトルが装飾ラインと共に表示され、画面がクリアされます。,画面 に 見出し が 強調 さ れ 、 処理 の 開始 や 区切り が 明確 に なる,標準 出力 に タイトル が 装飾 ライン と共に 表示 さ れ 、 画面 が クリア さ れ ます 。,0.813544511795044,0.062284969540134474,0.4,0.38709677419354843,0.6557
F002,ScreenHeader,constraint,Windows環境で 'cls' コマンドが有効である必要がある,エラー処理は実装されておらず、`system(\,Windows 環境 で   ' cls '   コマンド が 有効 で ある 必要 が ある,エラー 処理 は 実装 さ れ て おら ず 、 ` system (\,0.5495550632476807,0.0,0.0,0.0,0.3847
F003,ReadIntBetween,trigger,ユーザーに特定の範囲内の整数入力を求めたいとき,ユーザーが整数を入力する必要があるときに関数が呼び出されます。,ユーザー に 特定 の 範囲 内 の 整数 入力 を 求め たい とき,ユーザー が 整数 を 入力 する 必要 が ある とき に 関数 が 呼び出さ れ ます 。,0.7720444798469543,0.018002829271425148,0.5,0.4444444444444445,0.6422
F003,ReadIntBetween,action,標準入力から整数値を読み取り、指定された範囲に収まるまで繰り返し再入力を求める,ユーザーに整数を入力させ、その整数が指定された範囲内に収まるまで再入力を促します。,標準 入力 から 整数 値 を 読み取り 、 指定 さ れ た 範囲 に 収まる まで 繰り返し 再 入力 を 求める,ユーザー に 整数 を 入力 さ せ 、 その 整数 が 指定 さ れ た 範囲 内 に 収まる まで 再 入力 を 促し ます 。,0.8438635468482971,0.2404817938984655,0.6842105263157895,0.6500000000000001,0.7516
