id,function,field,ref,gen,ref_tokens,gen_tokens,semantic_similarity,bleu,completeness,f1_score,sbc
F001,PauseProgram,trigger,ユーザーが前の処理を終え、メインメニューに戻るタイミングで実行される,ユーザーがプログラムの一時停止を必要とする状況に直面したとき。,ユーザー が 前 の 処理 を 終え 、 メイン メニュー に 戻る タイミング で 実行 さ れる,ユーザー が プログラム の 一時 停止 を 必要 と する 状況 に 直面 し た とき 。,0.5765247941017151,0.03058760346458022,0.29411764705882354,0.29411764705882354,0.4654
F001,PauseProgram,action,Enterキーを押すようにユーザーに促し、その入力を待機する,プログラムはユーザーにEnterキーを押すように促すメッセージを表示する。,Enter キー を 押す よう に ユーザー に 促し 、 その 入力 を 待機 する,プログラム は ユーザー に Enter キー を 押す よう に 促す メッセージ を 表示 する 。,0.6921097636222839,0.35831291876413535,0.6153846153846154,0.5925925925925927,0.6434
F001,PauseProgram,effect,ユーザーの任意のタイミングでメニューに戻れるようにする,ユーザーがEnterキーを押すと、プログラムはメインメニューに戻る。,ユーザー の 任意 の タイミング で メニュー に 戻れる よう に する,ユーザー が Enter キー を 押す と 、 プログラム は メイン メニュー に 戻る 。,0.7368583679199219,0.030934588294313718,0.3,0.24,0.5789
F001,PauseProgram,constraint,標準入力から1文字以上が入力されるまで次に進まない,ユーザーはEnterキー以外のキーを押してもプログラムは進行しない。,標準 入力 から 1 文字 以上 が 入力 さ れる まで 次に 進ま ない,ユーザー は Enter キー 以外 の キー を 押し て も プログラム は 進行 し ない 。,0.724292516708374,0.011502783619900045,0.07692307692307693,0.07142857142857144,0.5235
F002,ScreenHeader,trigger,画面をクリアし、操作画面に見出しを表示したいとき,関数が呼び出されるとき。,画面 を クリア し 、 操作 画面 に 見出し を 表示 し たい とき,関数 が 呼び出さ れる とき 。,0.44925597310066223,0.010761308100691222,0.09090909090909091,0.11764705882352942,0.3337
F002,ScreenHeader,action,コンソール画面をクリアし、引数で与えられたタイトル文字列を目立つ枠で囲んで表示する,画面をクリアし、指定されたタイトルをヘッダーとして表示する。,コンソール 画面 を クリア し 、 引数 で 与え られ た タイトル 文字 列 を 目立つ 枠 で 囲ん で 表示 する,画面 を クリア し 、 指定 さ れ た タイトル を ヘッダー として 表示 する 。,0.7350620031356812,0.20708304248442655,0.47368421052631576,0.5294117647058824,0.63
F002,ScreenHeader,effect,画面に見出しが強調され、処理の開始や区切りが明確になる,画面に指定されたタイトルがヘッダーとして表示される。,画面 に 見出し が 強調 さ れ 、 処理 の 開始 や 区切り が 明確 に なる,画面 に 指定 さ れ た タイトル が ヘッダー として 表示 さ れる 。,0.6624390482902527,0.03645654994547954,0.3333333333333333,0.3571428571428571,0.534
F002,ScreenHeader,constraint,Windows環境で 'cls' コマンドが有効である必要がある,タイトルはMAX_STRING_SIZEの制限内である必要がある。,Windows 環境 で   ' cls '   コマンド が 有効 で ある 必要 が ある,タイトル は MAX _ STRING _ SIZE の 制限 内 で ある 必要 が ある 。,0.6951645612716675,0.22894156860669912,0.36363636363636365,0.32,0.5822
F003,ReadIntBetween,trigger,ユーザーに特定の範囲内の整数入力を求めたいとき,ユーザーが整数を入力する必要があるときに関数が呼び出されます。,ユーザー に 特定 の 範囲 内 の 整数 入力 を 求め たい とき,ユーザー が 整数 を 入力 する 必要 が ある とき に 関数 が 呼び出さ れ ます 。,0.7720444798469543,0.018002829271425148,0.5,0.4444444444444445,0.6422
F003,ReadIntBetween,action,標準入力から整数値を読み取り、指定された範囲に収まるまで繰り返し再入力を求める,ユーザーに指定された範囲内の整数を入力させます。,標準 入力 から 整数 値 を 読み取り 、 指定 さ れ た 範囲 に 収まる まで 繰り返し 再 入力 を 求める,ユーザー に 指定 さ れ た 範囲 内 の 整数 を 入力 さ せ ます 。,0.7842893004417419,0.19401073222846635,0.47368421052631576,0.5294117647058824,0.6631
