function,predicted,correct,is_correct
AddNewReservation,B,B,TRUE
AddNewReservationScreen,D,D,TRUE
AddNewRoom,B,B,TRUE
AddNewRoomScreen,A,A,TRUE
AddNewUser,C,C,TRUE
AddNewUserScreen,A,A,TRUE
CheckRoomAvailabilityScreen,D,D,TRUE
DeleteReservationByID,B,B,TRUE
DeleteReservationScreen,A,A,TRUE
DeleteRoomByID,B,B,TRUE
DeleteRoomScreen,C,C,TRUE
DeleteUserByID,B,B,TRUE
DeleteUserScreen,D,C,FALSE
DisplayReservationCard,C,C,TRUE
DisplayReservationsScreen,A,D,FALSE
DisplayRoomCard,B,B,TRUE
DisplayRoomListScreen,C,C,TRUE
DisplayUserCard,A,A,TRUE
DisplayUserListScreen,C,C,TRUE
ExitScreen,B,B,TRUE
IsDate1BeforeDate2,A,A,TRUE
IsTime1BeforeTime2,B,B,TRUE
MainMenu,B,B,TRUE
PauseProgram,B,B,TRUE
ReadDate,B,B,TRUE
ReadIntBetween,B,B,TRUE
ReadReservationInfo,D,A,FALSE
ReadReservationPeriod,B,B,TRUE
ReadRoomInfo,B,B,TRUE
ReadTime,D,D,TRUE
ReadUserInfo,C,C,TRUE
ReservationManagementMenu,B,B,TRUE
RoomManagementMenu,B,B,TRUE
ScreenHeader,A,A,TRUE
SearchReservationByID,A,A,TRUE
SearchRoomByID,D,D,TRUE
SearchRoomByIDScreen,A,A,TRUE
SearchRoomByName,C,C,TRUE
SearchRoomByNameScreen,D,B,FALSE
SearchUserByFirstName,C,C,TRUE
SearchUserByFirstNameScreen,A,A,TRUE
SearchUserByID,B,B,TRUE
SearchUserByIDScreen,B,B,TRUE
SortReservationsByDate,C,C,TRUE
SortReservationsByDateScreen,A,A,TRUE
SwapReservationData,A,A,TRUE
UserManagementMenu,D,D,TRUE
main,B,B,TRUE
