function,answer,elapsed_time_sec
AddNewReservation,B,2.57
AddNewReservationScreen,D,2.54
AddNewRoom,B,2.33
AddNewRoomScreen,A,1.76
AddNewUser,C,2.34
AddNewUserScreen,A,2.24
CheckRoomAvailabilityScreen,B,2.39
DeleteReservationByID,B,2.85
DeleteReservationScreen,A,3.93
DeleteRoomByID,B,2.56
DeleteRoomScreen,C,2.03
DeleteUserByID,B,2.42
DeleteUserScreen,D,2.13
DisplayReservationCard,C,3.12
DisplayReservationsScreen,A,2.33
DisplayRoomCard,B,1.89
DisplayRoomListScreen,C,3.09
DisplayUserCard,A,1.8
DisplayUserListScreen,C,2.84
ExitScreen,B,1.92
IsDate1BeforeDate2,C,1.71
IsTime1BeforeTime2,B,1.42
MainMenu,B,2.84
PauseProgram,B,3.46
ReadDate,B,2.54
ReadIntBetween,B,1.87
ReadReservationInfo,D,3.67
ReadReservationPeriod,B,2.07
ReadRoomInfo,A,1.63
ReadTime,D,2.52
ReadUserInfo,C,1.72
ReservationManagementMenu,B,3.03
RoomManagementMenu,B,2.08
ScreenHeader,A,1.77
SearchReservationByID,A,3.08
SearchRoomByID,D,2.5
SearchRoomByIDScreen,A,2.3
SearchRoomByName,C,3.41
SearchRoomByNameScreen,D,2.44
SearchUserByFirstName,A,2.57
SearchUserByFirstNameScreen,D,1.94
SearchUserByID,B,2.91
SearchUserByIDScreen,B,3.41
SortReservationsByDate,C,2.07
SortReservationsByDateScreen,A,3.08
SwapReservationData,A,1.71
UserManagementMenu,D,2.51
main,B,2.77

TOTAL_ELAPSED_TIME(sec),127.93
