function,answer,elapsed_time_sec
AddNewReservation,B,3.23
AddNewReservationScreen,D,2.48
AddNewRoom,B,2.17
AddNewRoomScreen,B,2.4
AddNewUser,C,1.63
AddNewUserScreen,A,2.46
CheckRoomAvailabilityScreen,B,3.58
DeleteReservationByID,B,2.3
DeleteReservationScreen,A,2.21
DeleteRoomByID,B,2.84
DeleteRoomScreen,C,2.51
DeleteUserByID,B,3.14
DeleteUserScreen,D,2.07
DisplayReservationCard,C,2.32
DisplayReservationsScreen,D,2.74
DisplayRoomCard,D,2.54
DisplayRoomListScreen,C,3.02
DisplayUserCard,A,1.74
DisplayUserListScreen,C,3.42
ExitScreen,B,1.96
IsDate1BeforeDate2,C,1.89
IsTime1BeforeTime2,B,2.83
MainMenu,B,2.85
PauseProgram,B,3.14
ReadDate,B,3.02
ReadIntBetween,B,2.36
ReadReservationInfo,D,3.2
ReadReservationPeriod,B,1.52
ReadRoomInfo,B,1.64
ReadTime,D,2.21
ReadUserInfo,C,2.17
ReservationManagementMenu,B,3.19
RoomManagementMenu,B,2.16
ScreenHeader,A,2.14
SearchReservationByID,A,3.8
SearchRoomByID,D,2.19
SearchRoomByIDScreen,B,2.05
SearchRoomByName,C,2.64
SearchRoomByNameScreen,D,1.65
SearchUserByFirstName,C,2.42
SearchUserByFirstNameScreen,D,2.36
SearchUserByID,B,2.37
SearchUserByIDScreen,B,2.11
SortReservationsByDate,C,2.03
SortReservationsByDateScreen,A,2.81
SwapReservationData,A,2.28
UserManagementMenu,D,1.92
main,B,3.62

TOTAL_ELAPSED_TIME(sec),129.0
