function,answer,elapsed_time_sec
AddNewReservation,B,3.12
AddNewReservationScreen,D,3.13
AddNewRoom,B,1.83
AddNewRoomScreen,A,3.77
AddNewUser,C,2.81
AddNewUserScreen,A,4.2
CheckRoomAvailabilityScreen,D,1.77
DeleteReservationByID,B,2.82
DeleteReservationScreen,A,3.04
DeleteRoomByID,B,2.44
DeleteRoomScreen,C,2.07
DeleteUserByID,B,3.17
DeleteUserScreen,D,1.82
DisplayReservationCard,C,1.74
DisplayReservationsScreen,A,1.95
DisplayRoomCard,B,1.62
DisplayRoomListScreen,C,2.93
DisplayUserCard,A,2.69
DisplayUserListScreen,C,1.97
ExitScreen,B,3.23
IsDate1BeforeDate2,C,2.3
IsTime1BeforeTime2,B,1.78
MainMenu,B,2.79
PauseProgram,B,2.39
ReadDate,B,2.26
ReadIntBetween,B,2.22
ReadReservationInfo,D,2.47
ReadReservationPeriod,B,2.38
ReadRoomInfo,B,2.09
ReadTime,D,2.29
ReadUserInfo,C,2.26
ReservationManagementMenu,B,3.48
RoomManagementMenu,B,3.96
ScreenHeader,A,3.53
SearchReservationByID,A,2.8
SearchRoomByID,D,2.05
SearchRoomByIDScreen,B,2.01
SearchRoomByName,C,2.34
SearchRoomByNameScreen,D,2.49
SearchUserByFirstName,A,1.62
SearchUserByFirstNameScreen,D,2.35
SearchUserByID,B,2.94
SearchUserByIDScreen,B,2.53
SortReservationsByDate,C,1.76
SortReservationsByDateScreen,A,4.41
SwapReservationData,A,3.31
UserManagementMenu,D,2.28
main,B,2.81

TOTAL_ELAPSED_TIME(sec),133.69
