function,answer,elapsed_time_sec
AddNewReservation,B,2.82
AddNewReservationScreen,D,3.09
AddNewRoom,B,1.83
AddNewRoomScreen,A,2.19
AddNewUser,C,1.95
AddNewUserScreen,A,3.22
CheckRoomAvailabilityScreen,D,1.73
DeleteReservationByID,B,3.15
DeleteReservationScreen,A,2.26
DeleteRoomByID,B,2.33
DeleteRoomScreen,C,2.8
DeleteUserByID,B,2.83
DeleteUserScreen,D,2.87
DisplayReservationCard,C,2.25
DisplayReservationsScreen,D,3.59
DisplayRoomCard,B,2.38
DisplayRoomListScreen,C,2.12
DisplayUserCard,B,2.39
DisplayUserListScreen,C,3.08
ExitScreen,B,2.82
IsDate1BeforeDate2,C,3.4
IsTime1BeforeTime2,B,2.01
MainMenu,B,3.73
PauseProgram,B,3.22
ReadDate,B,1.74
ReadIntBetween,B,3.27
ReadReservationInfo,D,2.99
ReadReservationPeriod,B,3.15
ReadRoomInfo,B,2.06
ReadTime,D,1.73
ReadUserInfo,C,1.55
ReservationManagementMenu,B,2.82
RoomManagementMenu,B,3.04
ScreenHeader,A,1.65
SearchReservationByID,A,2.52
SearchRoomByID,D,2.69
SearchRoomByIDScreen,B,2.08
SearchRoomByName,C,2.06
SearchRoomByNameScreen,D,2.08
SearchUserByFirstName,A,1.72
SearchUserByFirstNameScreen,D,1.77
SearchUserByID,B,1.92
SearchUserByIDScreen,B,1.94
SortReservationsByDate,C,2.34
SortReservationsByDateScreen,A,2.84
SwapReservationData,A,1.78
UserManagementMenu,D,1.96
main,B,2.83

TOTAL_ELAPSED_TIME(sec),128.42
