function,answer,elapsed_time_sec
AddNewReservation,B,3.46
AddNewReservationScreen,D,2.79
AddNewRoom,B,3.15
AddNewRoomScreen,A,1.94
AddNewUser,C,1.7
AddNewUserScreen,A,3.59
CheckRoomAvailabilityScreen,D,2.78
DeleteReservationByID,B,3.6
DeleteReservationScreen,A,2.79
DeleteRoomByID,B,2.15
DeleteRoomScreen,C,2.23
DeleteUserByID,D,2.32
DeleteUserScreen,D,2.79
DisplayReservationCard,C,1.98
DisplayReservationsScreen,A,2.28
DisplayRoomCard,D,2.4
DisplayRoomListScreen,C,2.88
DisplayUserCard,A,2.11
DisplayUserListScreen,C,2.92
ExitScreen,B,2.83
IsDate1BeforeDate2,C,1.84
IsTime1BeforeTime2,B,1.89
MainMenu,B,2.79
PauseProgram,B,2.66
ReadDate,B,3.1
ReadIntBetween,B,2.5
ReadReservationInfo,D,2.93
ReadReservationPeriod,B,2.98
ReadRoomInfo,B,2.22
ReadTime,D,1.77
ReadUserInfo,C,1.63
ReservationManagementMenu,B,2.14
RoomManagementMenu,B,2.78
ScreenHeader,B,1.52
SearchReservationByID,A,2.41
SearchRoomByID,D,2.47
SearchRoomByIDScreen,D,2.13
SearchRoomByName,C,1.79
SearchRoomByNameScreen,D,1.64
SearchUserByFirstName,A,2.34
SearchUserByFirstNameScreen,C,3.27
SearchUserByID,B,1.88
SearchUserByIDScreen,B,2.12
SortReservationsByDate,C,2.09
SortReservationsByDateScreen,A,3.48
SwapReservationData,A,1.75
UserManagementMenu,D,2.26
main,B,3.6

TOTAL_ELAPSED_TIME(sec),128.6
