function,answer,elapsed_time_sec
AddNewReservation,B,1.82
AddNewReservationScreen,D,2.48
AddNewRoom,B,1.78
AddNewRoomScreen,B,2.35
AddNewUser,C,3.83
AddNewUserScreen,A,2.98
CheckRoomAvailabilityScreen,B,2.54
DeleteReservationByID,B,2.8
DeleteReservationScreen,A,2.64
DeleteRoomByID,B,1.47
DeleteRoomScreen,C,2.71
DeleteUserByID,B,2.57
DeleteUserScreen,D,2.17
DisplayReservationCard,C,1.83
DisplayReservationsScreen,D,3.36
DisplayRoomCard,B,3.2
DisplayRoomListScreen,C,2.15
DisplayUserCard,A,1.95
DisplayUserListScreen,C,2.81
ExitScreen,B,3.4
IsDate1BeforeDate2,C,2.13
IsTime1BeforeTime2,B,3.04
MainMenu,B,3.15
PauseProgram,B,3.15
ReadDate,B,3.08
ReadIntBetween,B,2.83
ReadReservationInfo,D,2.97
ReadReservationPeriod,B,2.82
ReadRoomInfo,B,1.87
ReadTime,D,2.84
ReadUserInfo,C,1.72
ReservationManagementMenu,B,3.19
RoomManagementMenu,B,3.28
ScreenHeader,A,3.33
SearchReservationByID,A,1.61
SearchRoomByID,D,4.21
SearchRoomByIDScreen,A,3.85
SearchRoomByName,C,3.37
SearchRoomByNameScreen,D,1.77
SearchUserByFirstName,C,2.07
SearchUserByFirstNameScreen,D,2.67
SearchUserByID,B,1.92
SearchUserByIDScreen,B,2.24
SortReservationsByDate,C,1.78
SortReservationsByDateScreen,A,2.4
SwapReservationData,A,1.8
UserManagementMenu,D,2.0
main,B,4.25

TOTAL_ELAPSED_TIME(sec),135.84
