function,answer,elapsed_time_sec
AddNewReservation,B,1.95
AddNewReservationScreen,D,2.41
AddNewRoom,B,2.01
AddNewRoomScreen,B,1.57
AddNewUser,C,2.48
AddNewUserScreen,A,1.74
CheckRoomAvailabilityScreen,B,2.42
DeleteReservationByID,B,2.18
DeleteReservationScreen,A,3.12
DeleteRoomByID,B,2.03
DeleteRoomScreen,C,2.81
DeleteUserByID,B,3.26
DeleteUserScreen,D,3.96
DisplayReservationCard,C,2.38
DisplayReservationsScreen,D,1.85
DisplayRoomCard,D,2.19
DisplayRoomListScreen,C,3.54
DisplayUserCard,A,2.03
DisplayUserListScreen,C,3.15
ExitScreen,B,3.1
IsDate1BeforeDate2,C,2.03
IsTime1BeforeTime2,B,3.15
MainMenu,B,2.85
PauseProgram,B,2.46
ReadDate,B,2.0
ReadIntBetween,B,2.85
ReadReservationInfo,D,3.4
ReadReservationPeriod,B,2.55
ReadRoomInfo,B,1.55
ReadTime,D,2.04
ReadUserInfo,C,1.75
ReservationManagementMenu,B,3.5
RoomManagementMenu,B,3.68
ScreenHeader,A,1.41
SearchReservationByID,B,3.02
SearchRoomByID,D,2.89
SearchRoomByIDScreen,B,2.87
SearchRoomByName,C,1.5
SearchRoomByNameScreen,D,2.81
SearchUserByFirstName,C,1.69
SearchUserByFirstNameScreen,D,3.19
SearchUserByID,B,1.83
SearchUserByIDScreen,B,2.0
SortReservationsByDate,C,2.17
SortReservationsByDateScreen,A,2.48
SwapReservationData,A,1.96
UserManagementMenu,D,2.23
main,B,3.53

TOTAL_ELAPSED_TIME(sec),129.24
