function,answer,elapsed_time_sec
AddNewReservation,D,2.39
AddNewReservationScreen,B,1.72
AddNewRoom,C,2.39
AddNewRoomScreen,C,2.17
AddNewUser,A,2.78
AddNewUserScreen,D,2.09
CheckRoomAvailabilityScreen,C,2.79
DeleteReservationByID,B,2.29
DeleteReservationScreen,B,2.09
DeleteRoomByID,A,2.44
DeleteRoomScreen,A,1.69
DeleteUserByID,A,3.29
DeleteUserScreen,A,1.71
DisplayReservationCard,D,1.85
DisplayReservationsScreen,D,1.77
DisplayRoomCard,D,1.8
DisplayRoomListScreen,D,2.36
DisplayUserCard,D,1.66
DisplayUserListScreen,A,2.14
ExitScreen,A,2.18
IsDate1BeforeDate2,D,1.62
IsTime1BeforeTime2,B,1.91
MainMenu,C,2.61
PauseProgram,D,2.89
ReadDate,C,2.79
ReadIntBetween,D,2.23
ReadReservationInfo,B,2.25
ReadReservationPeriod,D,3.41
ReadRoomInfo,D,1.6
ReadTime,D,2.16
ReadUserInfo,C,4.6
ReservationManagementMenu,C,2.79
RoomManagementMenu,C,2.17
ScreenHeader,C,2.2
SearchReservationByID,B,3.04
SearchRoomByID,B,2.8
SearchRoomByIDScreen,B,1.78
SearchRoomByName,D,2.52
SearchRoomByNameScreen,B,1.64
SearchUserByFirstName,B,2.92
SearchUserByFirstNameScreen,A,2.51
SearchUserByID,D,1.7
SearchUserByIDScreen,D,2.82
SortReservationsByDate,B,1.61
SortReservationsByDateScreen,B,2.89
SwapReservationData,D,2.35
UserManagementMenu,D,1.98
main,D,3.59

TOTAL_ELAPSED_TIME(sec),122.82
