function,answer,elapsed_time_sec
AddNewReservation,D,2.63
AddNewReservationScreen,B,2.21
AddNewRoom,C,1.43
AddNewRoomScreen,C,2.4
AddNewUser,A,2.87
AddNewUserScreen,D,2.0
CheckRoomAvailabilityScreen,C,2.1
DeleteReservationByID,B,3.45
DeleteReservationScreen,B,2.89
DeleteRoomByID,C,2.3
DeleteRoomScreen,B,2.11
DeleteUserByID,A,2.47
DeleteUserScreen,D,2.33
DisplayReservationCard,D,2.5
DisplayReservationsScreen,D,1.86
DisplayRoomCard,D,2.44
DisplayRoomListScreen,D,2.79
DisplayUserCard,D,1.64
DisplayUserListScreen,A,1.65
ExitScreen,A,2.82
IsDate1BeforeDate2,D,1.75
IsTime1BeforeTime2,C,1.79
MainMenu,C,2.8
PauseProgram,D,2.79
ReadDate,C,1.74
ReadIntBetween,D,2.8
ReadReservationInfo,B,2.17
ReadReservationPeriod,D,2.39
ReadRoomInfo,D,1.75
ReadTime,D,1.73
ReadUserInfo,C,1.93
ReservationManagementMenu,C,2.79
RoomManagementMenu,C,2.25
ScreenHeader,D,2.14
SearchReservationByID,B,2.8
SearchRoomByID,B,3.3
SearchRoomByIDScreen,B,2.36
SearchRoomByName,D,3.55
SearchRoomByNameScreen,?,1.75
SearchUserByFirstName,B,1.95
SearchUserByFirstNameScreen,C,1.88
SearchUserByID,D,1.81
SearchUserByIDScreen,D,2.0
SortReservationsByDate,B,1.85
SortReservationsByDateScreen,B,3.4
SwapReservationData,D,1.86
UserManagementMenu,D,2.08
main,D,3.47

TOTAL_ELAPSED_TIME(sec),121.51
