function,answer,elapsed_time_sec
AddNewReservation,D,2.04
AddNewReservationScreen,B,2.08
AddNewRoom,C,2.26
AddNewRoomScreen,C,1.65
AddNewUser,A,3.08
AddNewUserScreen,D,1.85
CheckRoomAvailabilityScreen,C,2.53
DeleteReservationByID,B,2.79
DeleteReservationScreen,B,1.94
DeleteRoomByID,A,1.68
DeleteRoomScreen,A,1.59
DeleteUserByID,A,2.8
DeleteUserScreen,D,2.85
DisplayReservationCard,D,2.02
DisplayReservationsScreen,D,2.79
DisplayRoomCard,D,1.78
DisplayRoomListScreen,D,2.35
DisplayUserCard,D,2.47
DisplayUserListScreen,A,1.65
ExitScreen,A,1.94
IsDate1BeforeDate2,D,1.69
IsTime1BeforeTime2,A,2.14
MainMenu,C,1.99
PauseProgram,D,2.1
ReadDate,C,2.84
ReadIntBetween,D,4.24
ReadReservationInfo,B,2.15
ReadReservationPeriod,D,3.12
ReadRoomInfo,C,1.86
ReadTime,D,3.45
ReadUserInfo,C,2.23
ReservationManagementMenu,C,2.96
RoomManagementMenu,C,2.47
ScreenHeader,D,1.94
SearchReservationByID,B,2.99
SearchRoomByID,B,2.38
SearchRoomByIDScreen,B,1.59
SearchRoomByName,D,2.45
SearchRoomByNameScreen,B,1.42
SearchUserByFirstName,B,2.53
SearchUserByFirstNameScreen,C,1.46
SearchUserByID,D,2.8
SearchUserByIDScreen,D,2.21
SortReservationsByDate,B,1.76
SortReservationsByDateScreen,B,2.86
SwapReservationData,D,2.44
UserManagementMenu,D,2.79
main,D,2.21

TOTAL_ELAPSED_TIME(sec),120.92
