function,answer,elapsed_time_sec
AddNewReservation,D,2.16
AddNewReservationScreen,B,1.72
AddNewRoom,C,1.82
AddNewRoomScreen,C,2.03
AddNewUser,A,1.91
AddNewUserScreen,D,2.2
CheckRoomAvailabilityScreen,C,2.31
DeleteReservationByID,B,2.62
DeleteReservationScreen,B,2.27
DeleteRoomByID,C,2.8
DeleteRoomScreen,B,1.83
DeleteUserByID,A,3.49
DeleteUserScreen,D,3.33
DisplayReservationCard,D,3.51
DisplayReservationsScreen,D,1.99
DisplayRoomCard,D,2.79
DisplayRoomListScreen,D,2.31
DisplayUserCard,D,1.72
DisplayUserListScreen,A,3.19
ExitScreen,C,1.73
IsDate1BeforeDate2,D,2.79
IsTime1BeforeTime2,C,1.81
MainMenu,C,2.5
PauseProgram,D,2.8
ReadDate,C,2.44
ReadIntBetween,D,1.9
ReadReservationInfo,B,2.97
ReadReservationPeriod,D,1.76
ReadRoomInfo,D,1.96
ReadTime,D,3.71
ReadUserInfo,C,1.79
ReservationManagementMenu,C,2.79
RoomManagementMenu,C,2.11
ScreenHeader,D,1.97
SearchReservationByID,B,3.06
SearchRoomByID,C,2.52
SearchRoomByIDScreen,B,2.29
SearchRoomByName,D,1.79
SearchRoomByNameScreen,B,1.31
SearchUserByFirstName,B,1.76
SearchUserByFirstNameScreen,C,1.78
SearchUserByID,D,1.67
SearchUserByIDScreen,D,1.68
SortReservationsByDate,B,3.16
SortReservationsByDateScreen,B,2.29
SwapReservationData,D,1.81
UserManagementMenu,D,2.05
main,D,2.79

TOTAL_ELAPSED_TIME(sec),120.68
