function,answer,elapsed_time_sec
AddNewReservation,D,1.75
AddNewReservationScreen,B,2.39
AddNewRoom,C,2.79
AddNewRoomScreen,C,1.93
AddNewUser,A,1.69
AddNewUserScreen,D,2.16
CheckRoomAvailabilityScreen,C,2.24
DeleteReservationByID,B,2.43
DeleteReservationScreen,B,1.99
DeleteRoomByID,C,3.86
DeleteRoomScreen,B,2.12
DeleteUserByID,A,1.95
DeleteUserScreen,D,2.01
DisplayReservationCard,D,2.86
DisplayReservationsScreen,D,2.47
DisplayRoomCard,D,1.77
DisplayRoomListScreen,D,1.79
DisplayUserCard,D,1.91
DisplayUserListScreen,A,2.79
ExitScreen,C,3.47
IsDate1BeforeDate2,D,1.65
IsTime1BeforeTime2,C,2.07
MainMenu,C,2.88
PauseProgram,D,2.47
ReadDate,C,2.4
ReadIntBetween,D,2.45
ReadReservationInfo,B,2.23
ReadReservationPeriod,D,3.06
ReadRoomInfo,D,2.78
ReadTime,D,1.69
ReadUserInfo,C,3.49
ReservationManagementMenu,C,2.48
RoomManagementMenu,C,3.06
ScreenHeader,D,2.95
SearchReservationByID,B,2.79
SearchRoomByID,B,2.83
SearchRoomByIDScreen,B,2.82
SearchRoomByName,D,2.38
SearchRoomByNameScreen,B,2.23
SearchUserByFirstName,B,2.8
SearchUserByFirstNameScreen,C,2.51
SearchUserByID,D,2.96
SearchUserByIDScreen,D,1.74
SortReservationsByDate,B,2.79
SortReservationsByDateScreen,B,2.79
SwapReservationData,D,1.79
UserManagementMenu,D,3.61
main,D,4.45

TOTAL_ELAPSED_TIME(sec),130.22
