function,answer,elapsed_time_sec
AddNewReservation,D,9.97
AddNewReservationScreen,B,2.8
AddNewRoom,C,2.34
AddNewRoomScreen,C,2.8
AddNewUser,A,2.81
AddNewUserScreen,D,3.23
CheckRoomAvailabilityScreen,C,2.33
DeleteReservationByID,B,3.15
DeleteReservationScreen,B,2.41
DeleteRoomByID,A,3.11
DeleteRoomScreen,A,1.4
DeleteUserByID,A,3.18
DeleteUserScreen,D,1.77
DisplayReservationCard,D,1.95
DisplayReservationsScreen,D,3.07
DisplayRoomCard,D,2.04
DisplayRoomListScreen,D,2.03
DisplayUserCard,D,1.81
DisplayUserListScreen,A,2.27
ExitScreen,A,2.32
IsDate1BeforeDate2,D,1.89
IsTime1BeforeTime2,C,1.86
MainMenu,C,2.21
PauseProgram,D,1.97
ReadDate,C,2.94
ReadIntBetween,D,2.43
ReadReservationInfo,B,2.78
ReadReservationPeriod,D,2.78
ReadRoomInfo,C,2.78
ReadTime,D,2.53
ReadUserInfo,C,3.0
ReservationManagementMenu,C,2.3
RoomManagementMenu,C,2.26
ScreenHeader,D,1.99
SearchReservationByID,B,1.96
SearchRoomByID,B,3.67
SearchRoomByIDScreen,B,2.27
SearchRoomByName,D,3.02
SearchRoomByNameScreen,B,2.79
SearchUserByFirstName,B,2.79
SearchUserByFirstNameScreen,A,2.51
SearchUserByID,D,1.8
SearchUserByIDScreen,D,2.13
SortReservationsByDate,B,1.58
SortReservationsByDateScreen,B,1.66
SwapReservationData,D,1.52
UserManagementMenu,D,2.08
main,D,4.34

TOTAL_ELAPSED_TIME(sec),134.36
