function,answer,elapsed_time_sec
AddNewReservation,D,2.14
AddNewReservationScreen,B,1.78
AddNewRoom,C,1.84
AddNewRoomScreen,C,2.81
AddNewUser,A,2.8
AddNewUserScreen,D,2.0
CheckRoomAvailabilityScreen,C,2.07
DeleteReservationByID,B,2.92
DeleteReservationScreen,B,2.99
DeleteRoomByID,C,2.79
DeleteRoomScreen,B,1.73
DeleteUserByID,A,3.61
DeleteUserScreen,A,2.11
DisplayReservationCard,D,2.45
DisplayReservationsScreen,D,2.04
DisplayRoomCard,D,1.6
DisplayRoomListScreen,D,2.5
DisplayUserCard,D,1.95
DisplayUserListScreen,A,1.86
ExitScreen,A,1.83
IsDate1BeforeDate2,D,1.66
IsTime1BeforeTime2,C,2.22
MainMenu,C,2.2
PauseProgram,D,2.97
ReadDate,C,3.15
ReadIntBetween,D,2.4
ReadReservationInfo,B,4.32
ReadReservationPeriod,D,2.4
ReadRoomInfo,D,1.88
ReadTime,D,2.05
ReadUserInfo,C,2.09
ReservationManagementMenu,C,2.79
RoomManagementMenu,C,3.37
ScreenHeader,D,2.21
SearchReservationByID,B,2.78
SearchRoomByID,B,2.4
SearchRoomByIDScreen,B,2.26
SearchRoomByName,D,2.18
SearchRoomByNameScreen,B,2.01
SearchUserByFirstName,B,1.49
SearchUserByFirstNameScreen,C,2.79
SearchUserByID,D,2.21
SearchUserByIDScreen,D,1.97
SortReservationsByDate,B,1.99
SortReservationsByDateScreen,B,2.34
SwapReservationData,D,1.81
UserManagementMenu,D,2.23
main,D,3.12

TOTAL_ELAPSED_TIME(sec),123.13
