function,answer,elapsed_time_sec
AddNewReservation,D,7.43
AddNewReservationScreen,B,1.69
AddNewRoom,C,1.93
AddNewRoomScreen,C,1.95
AddNewUser,A,2.81
AddNewUserScreen,D,2.13
CheckRoomAvailabilityScreen,C,2.8
DeleteReservationByID,B,2.1
DeleteReservationScreen,B,1.93
DeleteRoomByID,A,3.88
DeleteRoomScreen,A,2.13
DeleteUserByID,A,2.29
DeleteUserScreen,D,1.56
DisplayReservationCard,D,2.5
DisplayReservationsScreen,D,2.86
DisplayRoomCard,D,1.51
DisplayRoomListScreen,D,1.82
DisplayUserCard,D,1.91
DisplayUserListScreen,A,2.04
ExitScreen,A,1.64
IsDate1BeforeDate2,D,1.63
IsTime1BeforeTime2,C,2.07
MainMenu,C,2.82
PauseProgram,D,2.26
ReadDate,C,3.07
ReadIntBetween,D,2.8
ReadReservationInfo,B,2.8
ReadReservationPeriod,D,2.79
ReadRoomInfo,D,2.81
ReadTime,D,2.35
ReadUserInfo,C,2.68
ReservationManagementMenu,C,2.8
RoomManagementMenu,C,2.28
ScreenHeader,C,1.67
SearchReservationByID,B,3.01
SearchRoomByID,C,2.97
SearchRoomByIDScreen,B,3.09
SearchRoomByName,D,2.84
SearchRoomByNameScreen,B,1.73
SearchUserByFirstName,B,1.63
SearchUserByFirstNameScreen,C,1.64
SearchUserByID,D,1.78
SearchUserByIDScreen,D,2.32
SortReservationsByDate,B,2.36
SortReservationsByDateScreen,B,2.9
SwapReservationData,D,1.96
UserManagementMenu,D,1.89
main,D,2.8

TOTAL_ELAPSED_TIME(sec),126.34
