function,predicted,correct,is_correct,note
AddNewReservation,C,D,False,
AddNewReservationScreen,B,B,True,
AddNewRoom,D,C,False,
AddNewRoomScreen,C,C,True,
AddNewUser,A,A,True,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,D,C,False,
DeleteReservationByID,B,A,False,
DeleteReservationScreen,D,B,False,
DeleteRoomByID,A,C,False,
DeleteRoomScreen,D,A,False,
DeleteUserByID,B,B,True,
DeleteUserScreen,D,A,False,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,D,D,True,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,D,A,False,
DisplayUserCard,D,D,True,
DisplayUserListScreen,A,A,True,
ExitScreen,A,C,False,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,C,C,True,
MainMenu,C,A,False,
PauseProgram,D,D,True,
ReadDate,C,C,True,
ReadIntBetween,D,D,True,
ReadReservationInfo,A,A,True,
ReadReservationPeriod,A,D,False,
ReadRoomInfo,?,C,False,
ReadTime,D,D,True,
ReadUserInfo,D,D,True,
ReservationManagementMenu,D,D,True,
RoomManagementMenu,?,C,False,
ScreenHeader,D,C,False,
SearchReservationByID,A,B,False,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,D,B,False,
SearchRoomByName,C,D,False,
SearchRoomByNameScreen,A,A,True,
SearchUserByFirstName,D,C,False,
SearchUserByFirstNameScreen,A,C,False,
SearchUserByID,D,D,True,
SearchUserByIDScreen,?,D,False,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,D,B,False,
SwapReservationData,D,C,False,
UserManagementMenu,A,A,True,
main,C,C,True,
