function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,B,B,True,
AddNewRoom,?,C,False,
AddNewRoomScreen,C,C,True,
AddNewUser,D,A,False,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,C,C,True,
DeleteReservationByID,C,A,False,
DeleteReservationScreen,B,B,True,
DeleteRoomByID,D,C,False,
DeleteRoomScreen,D,A,False,
DeleteUserByID,B,B,True,
DeleteUserScreen,?,A,False,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,C,D,False,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,D,A,False,
DisplayUserCard,D,D,True,
DisplayUserListScreen,A,A,True,
ExitScreen,A,C,False,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,?,C,False,
MainMenu,C,A,False,
PauseProgram,B,D,False,
ReadDate,C,C,True,
ReadIntBetween,D,D,True,
ReadReservationInfo,A,A,True,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,D,C,False,
ReadTime,D,D,True,
ReadUserInfo,D,D,True,
ReservationManagementMenu,C,D,False,
RoomManagementMenu,A,C,False,
ScreenHeader,C,C,True,
SearchReservationByID,B,B,True,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,B,B,True,
SearchRoomByName,?,D,False,
SearchRoomByNameScreen,C,A,False,
SearchUserByFirstName,B,C,False,
SearchUserByFirstNameScreen,D,C,False,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,D,B,False,
SortReservationsByDateScreen,D,B,False,
SwapReservationData,D,C,False,
UserManagementMenu,D,A,False,
main,D,C,False,
