function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,B,B,True,
AddNewRoom,D,C,False,
AddNewRoomScreen,?,C,False,
AddNewUser,D,A,False,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,D,C,False,
DeleteReservationByID,B,A,False,
DeleteReservationScreen,D,B,False,
DeleteRoomByID,C,C,True,
DeleteRoomScreen,A,A,True,
DeleteUserByID,B,B,True,
DeleteUserScreen,A,A,True,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,D,D,True,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,D,A,False,
DisplayUserCard,D,D,True,
DisplayUserListScreen,A,A,True,
ExitScreen,A,C,False,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,C,C,True,
MainMenu,D,A,False,
PauseProgram,D,D,True,
ReadDate,C,C,True,
ReadIntBetween,C,D,False,
ReadReservationInfo,A,A,True,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,D,C,False,
ReadTime,A,D,False,
ReadUserInfo,D,D,True,
ReservationManagementMenu,C,D,False,
RoomManagementMenu,C,C,True,
ScreenHeader,D,C,False,
SearchReservationByID,B,B,True,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,B,B,True,
SearchRoomByName,C,D,False,
SearchRoomByNameScreen,B,A,False,
SearchUserByFirstName,B,C,False,
SearchUserByFirstNameScreen,?,C,False,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,B,B,True,
SwapReservationData,D,C,False,
UserManagementMenu,C,A,False,
main,D,C,False,
