function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,D,B,False,
AddNewRoom,D,C,False,
AddNewRoomScreen,C,C,True,
AddNewUser,C,A,False,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,A,C,False,
DeleteReservationByID,D,A,False,
DeleteReservationScreen,B,B,True,
DeleteRoomByID,A,C,False,
DeleteRoomScreen,A,A,True,
DeleteUserByID,B,B,True,
DeleteUserScreen,A,A,True,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,D,D,True,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,A,A,True,
DisplayUserCard,B,D,False,
DisplayUserListScreen,C,A,False,
ExitScreen,D,C,False,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,B,C,False,
MainMenu,C,A,False,
PauseProgram,B,D,False,
ReadDate,C,C,True,
ReadIntBetween,D,D,True,
ReadReservationInfo,A,A,True,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,D,C,False,
ReadTime,C,D,False,
ReadUserInfo,D,D,True,
ReservationManagementMenu,C,D,False,
RoomManagementMenu,C,C,True,
ScreenHeader,C,C,True,
SearchReservationByID,B,B,True,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,B,B,True,
SearchRoomByName,D,D,True,
SearchRoomByNameScreen,B,A,False,
SearchUserByFirstName,C,C,True,
SearchUserByFirstNameScreen,A,C,False,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,D,B,False,
SwapReservationData,D,C,False,
UserManagementMenu,D,A,False,
main,D,C,False,
