function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,D,B,False,
AddNewRoom,C,C,True,
AddNewRoomScreen,C,C,True,
AddNewUser,A,A,True,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,C,C,True,
DeleteReservationByID,B,A,False,
DeleteReservationScreen,D,B,False,
DeleteRoomByID,A,C,False,
DeleteRoomScreen,A,A,True,
DeleteUserByID,B,B,True,
DeleteUserScreen,A,A,True,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,C,D,False,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,D,A,False,
DisplayUserCard,D,D,True,
DisplayUserListScreen,C,A,False,
ExitScreen,A,C,False,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,D,C,False,
MainMenu,C,A,False,
PauseProgram,D,D,True,
ReadDate,D,C,False,
ReadIntBetween,D,D,True,
ReadReservationInfo,A,A,True,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,C,C,True,
ReadTime,D,D,True,
ReadUserInfo,D,D,True,
ReservationManagementMenu,D,D,True,
RoomManagementMenu,C,C,True,
ScreenHeader,D,C,False,
SearchReservationByID,B,B,True,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,D,B,False,
SearchRoomByName,D,D,True,
SearchRoomByNameScreen,B,A,False,
SearchUserByFirstName,B,C,False,
SearchUserByFirstNameScreen,C,C,True,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,B,B,True,
SwapReservationData,D,C,False,
UserManagementMenu,D,A,False,
main,D,C,False,
