function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,B,B,True,
AddNewRoom,C,C,True,
AddNewRoomScreen,C,C,True,
AddNewUser,A,A,True,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,C,C,True,
DeleteReservationByID,B,A,False,
DeleteReservationScreen,B,B,True,
DeleteRoomByID,?,C,False,
DeleteRoomScreen,A,A,True,
DeleteUserByID,B,B,True,
DeleteUserScreen,A,A,True,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,D,D,True,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,D,A,False,
DisplayUserCard,C,D,False,
DisplayUserListScreen,A,A,True,
ExitScreen,A,C,False,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,B,C,False,
MainMenu,C,A,False,
PauseProgram,D,D,True,
ReadDate,C,C,True,
ReadIntBetween,D,D,True,
ReadReservationInfo,A,A,True,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,D,C,False,
ReadTime,D,D,True,
ReadUserInfo,C,D,False,
ReservationManagementMenu,D,D,True,
RoomManagementMenu,C,C,True,
ScreenHeader,C,C,True,
SearchReservationByID,B,B,True,
SearchRoomByID,D,B,False,
SearchRoomByIDScreen,D,B,False,
SearchRoomByName,D,D,True,
SearchRoomByNameScreen,A,A,True,
SearchUserByFirstName,B,C,False,
SearchUserByFirstNameScreen,C,C,True,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,B,B,True,
SwapReservationData,D,C,False,
UserManagementMenu,D,A,False,
main,D,C,False,
