id,function,mcqa,bleurt,sbc,level
F001,PauseProgram,True,0.7810207605361938,0.53395,L0
F002,ScreenHeader,True,0.3993163704872131,0.559175,L0
F003,ReadIntBetween,True,0.5683523416519165,0.620125,L0
F004,ReadDate,True,0.6728370785713196,0.56575,L0
F005,ReadTime,True,0.7794544696807861,0.598575,L0
F006,IsDate1BeforeDate2,True,0.9575342535972596,0.5871500000000001,L0
F007,IsTime1BeforeTime2,True,0.6951382756233215,0.5433,L0
F008,ExitScreen,True,0.6353735327720642,0.7666999999999999,L0
F009,MainMenu,True,0.6306653022766113,0.513875,L0
F010,main,True,0.6346439123153687,0.5115500000000001,L0
F011,DisplayUserCard,True,0.7227318286895752,0.644,L0
F012,ReadUserInfo,True,0.5276731252670288,0.5053,L0
F013,SearchUserByFirstName,True,0.7182034850120544,0.591375,L0
F014,SearchUserByID,True,0.6258586049079895,0.6662,L0
F015,AddNewUser,True,0.6377187371253967,0.63185,L0
F016,DeleteUserByID,True,0.7385340332984924,0.6191,L0
F017,AddNewUserScreen,True,0.5160927176475525,0.5838,L0
F018,SearchUserByFirstNameScreen,True,0.7795334458351135,0.58895,L0
F019,SearchUserByIDScreen,True,0.5939479470252991,0.609025,L0
F020,DisplayUserListScreen,True,0.6758303642272949,0.4151,L0
F021,DeleteUserScreen,False,0.5418350100517273,0.608475,L0
F022,UserManagementMenu,True,0.6359127163887024,0.5728249999999999,L0
F023,DisplayRoomCard,True,0.7336033582687378,0.537825,L0
F024,ReadRoomInfo,True,0.6175124645233154,0.579325,L0
F025,SearchRoomByID,True,0.699673056602478,0.545975,L0
F026,AddNewRoom,True,0.6499652862548828,0.666575,L0
F027,SearchRoomByName,True,0.7447295784950256,0.62545,L0
F028,DeleteRoomByID,True,0.7793319821357727,0.612825,L0
F029,AddNewRoomScreen,True,0.6281148195266724,0.636425,L0
F030,SearchRoomByNameScreen,False,0.7456150650978088,0.528225,L0
F031,SearchRoomByIDScreen,True,0.8189159631729126,0.5881,L0
F032,DisplayRoomListScreen,True,0.6940441131591797,0.507175,L0
F033,DeleteRoomScreen,True,0.6725260615348816,0.688825,L0
F034,CheckRoomAvailabilityScreen,True,0.6778835654258728,0.61105,L0
F035,RoomManagementMenu,True,0.62764573097229,0.5205,L0
F036,DisplayReservationCard,True,0.640709400177002,0.5654,L0
F037,SearchReservationByID,True,0.7364717125892639,0.694825,L0
F038,DeleteReservationByID,True,0.6800585985183716,0.6568,L0
F039,ReadReservationPeriod,True,0.5608456134796143,0.606825,L0
F040,ReadReservationInfo,False,0.6613224148750305,0.587725,L0
F041,AddNewReservation,True,0.6993736028671265,0.72035,L0
F042,AddNewReservationScreen,True,0.5601581931114197,0.545725,L0
F043,DeleteReservationScreen,True,0.6591009497642517,0.593625,L0
F044,DisplayReservationsScreen,False,0.7514436841011047,0.49665,L0
F045,SwapReservationData,True,0.6930189728736877,0.509625,L0
F046,SortReservationsByDate,True,0.6175042390823364,0.539425,L0
F047,SortReservationsByDateScreen,True,0.6317286491394043,0.5611,L0
F048,ReservationManagementMenu,True,0.7365686297416687,0.5604,L0
F001,PauseProgram,True,0.766686201095581,0.5528,L1
F002,ScreenHeader,True,0.3993163704872131,0.5199750000000001,L1
F003,ReadIntBetween,True,0.6655301451683044,0.60135,L1
F004,ReadDate,True,0.592242419719696,0.575,L1
F005,ReadTime,True,0.6977431178092957,0.522625,L1
F006,IsDate1BeforeDate2,True,0.921772301197052,0.5481,L1
F007,IsTime1BeforeTime2,True,0.7481576800346375,0.605,L1
F008,ExitScreen,True,0.5341250896453857,0.7510749999999999,L1
F009,MainMenu,True,0.6693073511123657,0.58085,L1
F010,main,True,0.7293957471847534,0.380725,L1
F011,DisplayUserCard,True,0.7995392680168152,0.6092,L1
F012,ReadUserInfo,True,0.6317821145057678,0.539275,L1
F013,SearchUserByFirstName,True,0.7484800219535828,0.6164,L1
F014,SearchUserByID,False,0.6984854936599731,0.666925,L1
F015,AddNewUser,True,0.6515292525291443,0.5872999999999999,L1
F016,DeleteUserByID,True,0.8227376341819763,0.60875,L1
F017,AddNewUserScreen,True,0.6466021537780762,0.58645,L1
F018,SearchUserByFirstNameScreen,True,0.7013871073722839,0.5337000000000001,L1
F019,SearchUserByIDScreen,True,0.7113854289054871,0.572175,L1
F020,DisplayUserListScreen,True,0.6758303642272949,0.5327999999999999,L1
F021,DeleteUserScreen,False,0.6590952277183533,0.606825,L1
F022,UserManagementMenu,True,0.7303988337516785,0.6005,L1
F023,DisplayRoomCard,True,0.740154504776001,0.5488500000000001,L1
F024,ReadRoomInfo,True,0.4961392283439636,0.613125,L1
F025,SearchRoomByID,True,0.7522334456443787,0.6005499999999999,L1
F026,AddNewRoom,True,0.6763595938682556,0.638525,L1
F027,SearchRoomByName,True,0.6825805902481079,0.5452,L1
F028,DeleteRoomByID,True,0.7921409010887146,0.549425,L1
F029,AddNewRoomScreen,True,0.6426186561584473,0.671,L1
F030,SearchRoomByNameScreen,False,0.7512137293815613,0.531725,L1
