function,answer,elapsed_time_sec
AddNewReservation,D,6.77
AddNewReservationScreen,B,7.41
AddNewRoom,D,8.48
AddNewRoomScreen,?,7.39
AddNewUser,D,6.85
AddNewUserScreen,D,13.65
CheckRoomAvailabilityScreen,D,11.17
DeleteReservationByID,B,10.03
DeleteReservationScreen,D,8.97
DeleteRoomByID,C,10.66
DeleteRoomScreen,A,5.07
DeleteUserByID,B,7.65
DeleteUserScreen,A,12.01
DisplayReservationCard,D,8.97
DisplayReservationsScreen,D,7.01
DisplayRoomCard,D,7.96
DisplayRoomListScreen,D,13.28
DisplayUserCard,D,9.62
DisplayUserListScreen,A,7.86
ExitScreen,A,7.58
IsDate1BeforeDate2,D,9.17
IsTime1BeforeTime2,C,6.73
MainMenu,D,13.09
PauseProgram,D,7.08
ReadDate,C,5.88
ReadIntBetween,C,9.67
ReadReservationInfo,A,8.47
ReadReservationPeriod,D,8.93
ReadRoomInfo,D,7.51
ReadTime,A,10.4
ReadUserInfo,D,10.01
ReservationManagementMenu,C,11.23
RoomManagementMenu,C,7.06
ScreenHeader,D,8.58
SearchReservationByID,B,9.22
SearchRoomByID,B,9.87
SearchRoomByIDScreen,B,9.54
SearchRoomByName,C,13.16
SearchRoomByNameScreen,B,10.17
SearchUserByFirstName,B,7.78
SearchUserByFirstNameScreen,?,6.88
SearchUserByID,D,6.97
SearchUserByIDScreen,D,7.07
SortReservationsByDate,B,5.04
SortReservationsByDateScreen,B,4.69
SwapReservationData,D,25.06
UserManagementMenu,C,6.34
main,D,7.49

TOTAL_ELAPSED_TIME(sec),441.39
