function,answer,elapsed_time_sec
AddNewReservation,C,8.93
AddNewReservationScreen,B,10.28
AddNewRoom,C,11.46
AddNewRoomScreen,C,9.17
AddNewUser,A,6.86
AddNewUserScreen,D,6.51
CheckRoomAvailabilityScreen,C,10.03
DeleteReservationByID,B,10.35
DeleteReservationScreen,B,6.31
DeleteRoomByID,A,8.74
DeleteRoomScreen,A,4.94
DeleteUserByID,B,5.04
DeleteUserScreen,A,11.59
DisplayReservationCard,D,10.3
DisplayReservationsScreen,D,10.66
DisplayRoomCard,D,6.53
DisplayRoomListScreen,D,7.03
DisplayUserCard,D,5.65
DisplayUserListScreen,A,9.5
ExitScreen,D,10.63
IsDate1BeforeDate2,D,8.67
IsTime1BeforeTime2,C,6.3
MainMenu,C,9.73
PauseProgram,B,6.57
ReadDate,C,7.43
ReadIntBetween,D,6.54
ReadReservationInfo,A,6.45
ReadReservationPeriod,D,9.78
ReadRoomInfo,D,6.33
ReadTime,D,6.26
ReadUserInfo,D,9.1
ReservationManagementMenu,D,7.52
RoomManagementMenu,C,8.98
ScreenHeader,C,8.79
SearchReservationByID,B,10.07
SearchRoomByID,B,7.52
SearchRoomByIDScreen,B,6.92
SearchRoomByName,D,5.28
SearchRoomByNameScreen,C,7.05
SearchUserByFirstName,B,7.29
SearchUserByFirstNameScreen,A,3.64
SearchUserByID,D,5.19
SearchUserByIDScreen,D,7.98
SortReservationsByDate,D,12.78
SortReservationsByDateScreen,B,9.75
SwapReservationData,C,8.02
UserManagementMenu,A,8.95
main,D,4.95

TOTAL_ELAPSED_TIME(sec),394.32
