function,answer,elapsed_time_sec
AddNewReservation,C,5.01
AddNewReservationScreen,B,7.86
AddNewRoom,D,6.84
AddNewRoomScreen,C,8.08
AddNewUser,A,11.63
AddNewUserScreen,D,9.06
CheckRoomAvailabilityScreen,D,8.08
DeleteReservationByID,B,13.7
DeleteReservationScreen,D,10.51
DeleteRoomByID,A,18.23
DeleteRoomScreen,D,6.42
DeleteUserByID,B,7.61
DeleteUserScreen,D,8.86
DisplayReservationCard,D,9.5
DisplayReservationsScreen,D,7.2
DisplayRoomCard,D,11.88
DisplayRoomListScreen,D,6.39
DisplayUserCard,D,18.03
DisplayUserListScreen,A,13.01
ExitScreen,A,8.03
IsDate1BeforeDate2,D,7.74
IsTime1BeforeTime2,C,8.53
MainMenu,C,10.29
PauseProgram,D,13.62
ReadDate,C,6.09
ReadIntBetween,D,6.43
ReadReservationInfo,A,10.1
ReadReservationPeriod,A,7.54
ReadRoomInfo,?,9.17
ReadTime,D,7.76
ReadUserInfo,D,11.34
ReservationManagementMenu,D,7.66
RoomManagementMenu,?,6.36
ScreenHeader,D,15.56
SearchReservationByID,A,6.6
SearchRoomByID,B,7.11
SearchRoomByIDScreen,D,5.67
SearchRoomByName,C,6.51
SearchRoomByNameScreen,A,9.65
SearchUserByFirstName,D,10.27
SearchUserByFirstNameScreen,A,4.95
SearchUserByID,D,6.15
SearchUserByIDScreen,?,8.63
SortReservationsByDate,B,6.78
SortReservationsByDateScreen,D,8.96
SwapReservationData,D,9.37
UserManagementMenu,A,8.6
main,C,6.04

TOTAL_ELAPSED_TIME(sec),439.31
