function,answer,elapsed_time_sec
AddNewReservation,D,17.05
AddNewReservationScreen,B,7.42
AddNewRoom,C,7.07
AddNewRoomScreen,C,9.1
AddNewUser,A,8.43
AddNewUserScreen,D,5.63
CheckRoomAvailabilityScreen,C,7.64
DeleteReservationByID,B,9.54
DeleteReservationScreen,B,4.13
DeleteRoomByID,?,227.34
DeleteRoomScreen,A,6.88
DeleteUserByID,B,8.6
DeleteUserScreen,A,6.45
DisplayReservationCard,D,6.71
DisplayReservationsScreen,D,8.38
DisplayRoomCard,D,13.38
DisplayRoomListScreen,D,6.76
DisplayUserCard,C,7.04
DisplayUserListScreen,A,6.01
ExitScreen,A,9.56
IsDate1BeforeDate2,D,4.94
IsTime1BeforeTime2,B,9.66
MainMenu,C,7.36
PauseProgram,D,34.83
ReadDate,C,5.64
ReadIntBetween,D,7.59
ReadReservationInfo,A,7.64
ReadReservationPeriod,D,9.89
ReadRoomInfo,D,11.13
ReadTime,D,5.63
ReadUserInfo,C,10.31
ReservationManagementMenu,D,10.82
RoomManagementMenu,C,8.69
ScreenHeader,C,11.44
SearchReservationByID,B,9.1
SearchRoomByID,D,10.6
SearchRoomByIDScreen,D,8.72
SearchRoomByName,D,7.74
SearchRoomByNameScreen,A,9.6
SearchUserByFirstName,B,7.58
SearchUserByFirstNameScreen,C,8.63
SearchUserByID,D,8.73
SearchUserByIDScreen,D,9.78
SortReservationsByDate,B,9.45
SortReservationsByDateScreen,B,7.55
SwapReservationData,D,7.47
UserManagementMenu,D,7.2
main,D,9.49

TOTAL_ELAPSED_TIME(sec),660.51
