function,answer,elapsed_time_sec
AddNewReservation,D,10.19
AddNewReservationScreen,D,9.18
AddNewRoom,C,4.96
AddNewRoomScreen,C,14.76
AddNewUser,A,7.89
AddNewUserScreen,D,7.83
CheckRoomAvailabilityScreen,C,7.55
DeleteReservationByID,B,3.74
DeleteReservationScreen,D,5.75
DeleteRoomByID,A,32.13
DeleteRoomScreen,A,4.3
DeleteUserByID,B,9.62
DeleteUserScreen,A,10.28
DisplayReservationCard,D,11.3
DisplayReservationsScreen,C,6.48
DisplayRoomCard,D,12.08
DisplayRoomListScreen,D,5.95
DisplayUserCard,D,11.48
DisplayUserListScreen,C,6.35
ExitScreen,A,11.19
IsDate1BeforeDate2,D,6.97
IsTime1BeforeTime2,D,9.04
MainMenu,C,6.78
PauseProgram,D,10.12
ReadDate,D,8.0
ReadIntBetween,D,11.52
ReadReservationInfo,A,7.88
ReadReservationPeriod,D,6.07
ReadRoomInfo,C,6.74
ReadTime,D,8.82
ReadUserInfo,D,9.86
ReservationManagementMenu,D,5.81
RoomManagementMenu,C,7.51
ScreenHeader,D,8.98
SearchReservationByID,B,6.3
SearchRoomByID,B,8.4
SearchRoomByIDScreen,D,7.59
SearchRoomByName,D,10.53
SearchRoomByNameScreen,B,9.66
SearchUserByFirstName,B,11.19
SearchUserByFirstNameScreen,C,12.9
SearchUserByID,D,10.41
SearchUserByIDScreen,D,8.42
SortReservationsByDate,B,8.87
SortReservationsByDateScreen,B,8.96
SwapReservationData,D,6.0
UserManagementMenu,D,8.77
main,D,8.92

TOTAL_ELAPSED_TIME(sec),444.21
