function,answer,elapsed_time_sec
AddNewReservation,D,9.73
AddNewReservationScreen,D,10.11
AddNewRoom,D,11.54
AddNewRoomScreen,C,11.78
AddNewUser,C,7.81
AddNewUserScreen,D,7.6
CheckRoomAvailabilityScreen,A,7.72
DeleteReservationByID,D,9.61
DeleteReservationScreen,B,11.56
DeleteRoomByID,A,10.92
DeleteRoomScreen,A,7.55
DeleteUserByID,B,4.74
DeleteUserScreen,A,8.03
DisplayReservationCard,D,5.85
DisplayReservationsScreen,D,6.32
DisplayRoomCard,D,6.94
DisplayRoomListScreen,A,8.72
DisplayUserCard,B,5.77
DisplayUserListScreen,C,10.02
ExitScreen,D,8.93
IsDate1BeforeDate2,D,9.66
IsTime1BeforeTime2,B,10.85
MainMenu,C,7.99
PauseProgram,B,8.93
ReadDate,C,5.72
ReadIntBetween,D,8.44
ReadReservationInfo,A,8.03
ReadReservationPeriod,D,9.29
ReadRoomInfo,D,8.74
ReadTime,C,6.84
ReadUserInfo,D,8.71
ReservationManagementMenu,C,12.67
RoomManagementMenu,C,6.6
ScreenHeader,C,7.66
SearchReservationByID,B,8.03
SearchRoomByID,B,10.58
SearchRoomByIDScreen,B,7.29
SearchRoomByName,D,11.25
SearchRoomByNameScreen,B,16.58
SearchUserByFirstName,C,6.37
SearchUserByFirstNameScreen,A,17.3
SearchUserByID,D,8.93
SearchUserByIDScreen,D,8.44
SortReservationsByDate,B,6.46
SortReservationsByDateScreen,D,8.56
SwapReservationData,D,6.57
UserManagementMenu,D,6.14
main,D,10.19

TOTAL_ELAPSED_TIME(sec),434.03
