function,answer,elapsed_time_sec
AddNewReservation,D,8.54
AddNewReservationScreen,B,6.53
AddNewRoom,C,11.29
AddNewRoomScreen,C,9.8
AddNewUser,A,6.65
AddNewUserScreen,D,10.53
CheckRoomAvailabilityScreen,D,9.35
DeleteReservationByID,B,10.35
DeleteReservationScreen,B,7.53
DeleteRoomByID,D,6.08
DeleteRoomScreen,B,5.87
DeleteUserByID,D,14.52
DeleteUserScreen,A,10.99
DisplayReservationCard,D,9.35
DisplayReservationsScreen,D,6.42
DisplayRoomCard,D,10.79
DisplayRoomListScreen,D,8.48
DisplayUserCard,D,6.9
DisplayUserListScreen,?,5.67
ExitScreen,A,7.46
IsDate1BeforeDate2,D,6.08
IsTime1BeforeTime2,C,7.74
MainMenu,D,18.07
PauseProgram,D,13.05
ReadDate,C,9.52
ReadIntBetween,D,8.7
ReadReservationInfo,A,9.3
ReadReservationPeriod,C,12.86
ReadRoomInfo,C,33.66
ReadTime,D,8.13
ReadUserInfo,C,13.07
ReservationManagementMenu,D,10.03
RoomManagementMenu,A,8.47
ScreenHeader,D,6.06
SearchReservationByID,B,9.0
SearchRoomByID,B,6.79
SearchRoomByIDScreen,D,9.97
SearchRoomByName,D,16.27
SearchRoomByNameScreen,A,9.46
SearchUserByFirstName,B,7.21
SearchUserByFirstNameScreen,A,12.29
SearchUserByID,?,3.29
SearchUserByIDScreen,D,9.04
SortReservationsByDate,B,7.47
SortReservationsByDateScreen,B,7.95
SwapReservationData,D,8.85
UserManagementMenu,D,9.79
main,D,7.44

TOTAL_ELAPSED_TIME(sec),472.62
