function,answer,elapsed_time_sec
AddNewReservation,B,7.34
AddNewReservationScreen,D,1.52
AddNewRoom,B,1.21
AddNewRoomScreen,A,1.15
AddNewUser,C,1.23
AddNewUserScreen,A,1.66
CheckRoomAvailabilityScreen,D,2.13
DeleteReservationByID,B,1.64
DeleteReservationScreen,A,1.38
DeleteRoomByID,B,2.02
DeleteRoomScreen,C,1.53
DeleteUserByID,B,1.2
DeleteUserScreen,D,1.19
DisplayReservationCard,C,1.24
DisplayReservationsScreen,D,1.53
DisplayRoomCard,D,1.57
DisplayRoomListScreen,C,1.77
DisplayUserCard,A,2.2
DisplayUserListScreen,C,1.54
ExitScreen,B,1.35
IsDate1BeforeDate2,A,2.39
IsTime1BeforeTime2,A,1.22
MainMenu,B,1.47
PauseProgram,B,1.84
ReadDate,B,2.42
ReadIntBetween,B,2.12
ReadReservationInfo,D,1.63
ReadReservationPeriod,B,1.3
ReadRoomInfo,B,1.18
ReadTime,D,1.23
ReadUserInfo,C,1.44
ReservationManagementMenu,B,1.72
RoomManagementMenu,B,1.33
ScreenHeader,A,1.45
SearchReservationByID,A,1.68
SearchRoomByID,D,1.54
SearchRoomByIDScreen,D,1.35
SearchRoomByName,C,1.82
SearchRoomByNameScreen,D,2.39
SearchUserByFirstName,C,2.03
SearchUserByFirstNameScreen,D,1.94
SearchUserByID,B,2.11
SearchUserByIDScreen,B,2.15
SortReservationsByDate,C,1.46
SortReservationsByDateScreen,A,1.62
SwapReservationData,A,1.53
UserManagementMenu,D,1.49
main,B,1.71

TOTAL_ELAPSED_TIME(sec),93.93
