function,answer,elapsed_time_sec
AddNewReservation,B,1.33
AddNewReservationScreen,D,1.27
AddNewRoom,B,1.5
AddNewRoomScreen,A,1.4
AddNewUser,C,1.23
AddNewUserScreen,A,1.39
CheckRoomAvailabilityScreen,D,1.75
DeleteReservationByID,B,1.66
DeleteReservationScreen,A,1.4
DeleteRoomByID,B,1.88
DeleteRoomScreen,C,1.45
DeleteUserByID,B,1.11
DeleteUserScreen,D,1.45
DisplayReservationCard,C,1.36
DisplayReservationsScreen,D,1.69
DisplayRoomCard,D,1.18
DisplayRoomListScreen,D,1.91
DisplayUserCard,A,1.48
DisplayUserListScreen,C,1.32
ExitScreen,B,1.72
IsDate1BeforeDate2,C,1.84
IsTime1BeforeTime2,B,1.26
MainMenu,B,1.53
PauseProgram,B,2.18
ReadDate,B,1.9
ReadIntBetween,B,1.53
ReadReservationInfo,D,2.24
ReadReservationPeriod,B,1.61
ReadRoomInfo,B,1.83
ReadTime,D,1.41
ReadUserInfo,C,1.96
ReservationManagementMenu,B,1.63
RoomManagementMenu,D,1.45
ScreenHeader,A,1.24
SearchReservationByID,B,1.55
SearchRoomByID,D,1.4
SearchRoomByIDScreen,D,1.17
SearchRoomByName,C,1.47
SearchRoomByNameScreen,D,1.48
SearchUserByFirstName,D,1.77
SearchUserByFirstNameScreen,D,1.82
SearchUserByID,B,1.2
SearchUserByIDScreen,B,1.05
SortReservationsByDate,C,1.39
SortReservationsByDateScreen,A,1.62
SwapReservationData,A,3.15
UserManagementMenu,D,1.54
main,A,2.35

TOTAL_ELAPSED_TIME(sec),85.82
