function,answer,elapsed_time_sec
AddNewReservation,B,1.59
AddNewReservationScreen,D,1.41
AddNewRoom,B,1.26
AddNewRoomScreen,A,1.43
AddNewUser,C,2.32
AddNewUserScreen,A,1.83
CheckRoomAvailabilityScreen,D,1.18
DeleteReservationByID,B,1.43
DeleteReservationScreen,C,1.46
DeleteRoomByID,B,1.45
DeleteRoomScreen,C,1.65
DeleteUserByID,B,1.67
DeleteUserScreen,D,1.97
DisplayReservationCard,D,1.43
DisplayReservationsScreen,D,1.99
DisplayRoomCard,D,1.53
DisplayRoomListScreen,C,2.35
DisplayUserCard,D,1.6
DisplayUserListScreen,C,1.19
ExitScreen,C,2.12
IsDate1BeforeDate2,A,1.65
IsTime1BeforeTime2,B,1.32
MainMenu,B,1.61
PauseProgram,B,1.65
ReadDate,B,1.37
ReadIntBetween,B,2.11
ReadReservationInfo,D,1.44
ReadReservationPeriod,B,2.29
ReadRoomInfo,B,1.41
ReadTime,D,2.16
ReadUserInfo,C,2.82
ReservationManagementMenu,B,1.76
RoomManagementMenu,D,1.47
ScreenHeader,A,1.34
SearchReservationByID,B,1.25
SearchRoomByID,D,1.3
SearchRoomByIDScreen,D,1.31
SearchRoomByName,C,1.29
SearchRoomByNameScreen,B,1.97
SearchUserByFirstName,D,1.48
SearchUserByFirstNameScreen,D,1.79
SearchUserByID,C,2.09
SearchUserByIDScreen,D,2.0
SortReservationsByDate,C,1.41
SortReservationsByDateScreen,A,2.3
SwapReservationData,A,1.44
UserManagementMenu,D,1.84
main,B,1.34

TOTAL_ELAPSED_TIME(sec),89.95
