function,answer,elapsed_time_sec
AddNewReservation,B,1.76
AddNewReservationScreen,D,1.26
AddNewRoom,B,1.41
AddNewRoomScreen,A,1.33
AddNewUser,C,1.26
AddNewUserScreen,A,1.49
CheckRoomAvailabilityScreen,D,2.35
DeleteReservationByID,D,1.77
DeleteReservationScreen,C,1.83
DeleteRoomByID,B,1.43
DeleteRoomScreen,A,1.41
DeleteUserByID,B,1.77
DeleteUserScreen,D,1.45
DisplayReservationCard,C,1.73
DisplayReservationsScreen,D,1.46
DisplayRoomCard,D,1.3
DisplayRoomListScreen,D,1.94
DisplayUserCard,A,1.7
DisplayUserListScreen,C,0.98
ExitScreen,C,1.41
IsDate1BeforeDate2,C,1.83
IsTime1BeforeTime2,B,2.28
MainMenu,B,1.67
PauseProgram,B,1.71
ReadDate,B,1.27
ReadIntBetween,B,1.99
ReadReservationInfo,D,2.36
ReadReservationPeriod,B,1.94
ReadRoomInfo,B,1.43
ReadTime,D,1.7
ReadUserInfo,C,2.14
ReservationManagementMenu,B,2.15
RoomManagementMenu,D,1.27
ScreenHeader,A,1.93
SearchReservationByID,B,1.75
SearchRoomByID,D,2.04
SearchRoomByIDScreen,D,2.24
SearchRoomByName,C,1.64
SearchRoomByNameScreen,C,1.69
SearchUserByFirstName,D,2.1
SearchUserByFirstNameScreen,D,1.84
SearchUserByID,C,2.04
SearchUserByIDScreen,C,1.28
SortReservationsByDate,C,1.91
SortReservationsByDateScreen,A,1.42
SwapReservationData,A,3.16
UserManagementMenu,D,1.46
main,B,2.36

TOTAL_ELAPSED_TIME(sec),93.48
