function,answer,elapsed_time_sec
AddNewReservation,B,1.2
AddNewReservationScreen,D,1.18
AddNewRoom,B,2.05
AddNewRoomScreen,A,1.25
AddNewUser,C,1.35
AddNewUserScreen,A,1.57
CheckRoomAvailabilityScreen,D,2.1
DeleteReservationByID,B,1.9
DeleteReservationScreen,C,1.22
DeleteRoomByID,B,1.33
DeleteRoomScreen,C,1.68
DeleteUserByID,D,1.6
DeleteUserScreen,D,1.57
DisplayReservationCard,C,1.47
DisplayReservationsScreen,D,2.08
DisplayRoomCard,D,1.88
DisplayRoomListScreen,D,2.24
DisplayUserCard,D,2.02
DisplayUserListScreen,C,1.41
ExitScreen,C,1.82
IsDate1BeforeDate2,C,2.42
IsTime1BeforeTime2,B,2.39
MainMenu,B,2.04
PauseProgram,B,1.61
ReadDate,B,1.61
ReadIntBetween,B,1.34
ReadReservationInfo,D,1.37
ReadReservationPeriod,B,1.28
ReadRoomInfo,B,1.37
ReadTime,D,1.31
ReadUserInfo,C,1.45
ReservationManagementMenu,B,2.15
RoomManagementMenu,D,1.51
ScreenHeader,A,1.39
SearchReservationByID,B,1.24
SearchRoomByID,D,1.51
SearchRoomByIDScreen,D,1.85
SearchRoomByName,B,1.88
SearchRoomByNameScreen,C,1.35
SearchUserByFirstName,D,1.72
SearchUserByFirstNameScreen,D,1.81
SearchUserByID,B,1.31
SearchUserByIDScreen,B,1.52
SortReservationsByDate,C,1.26
SortReservationsByDateScreen,A,1.65
SwapReservationData,A,1.53
UserManagementMenu,D,1.54
main,A,1.66

TOTAL_ELAPSED_TIME(sec),87.84
