function,answer,elapsed_time_sec
AddNewReservation,B,1.25
AddNewReservationScreen,D,1.83
AddNewRoom,B,1.23
AddNewRoomScreen,A,2.29
AddNewUser,C,1.26
AddNewUserScreen,A,1.28
CheckRoomAvailabilityScreen,D,2.18
DeleteReservationByID,B,1.48
DeleteReservationScreen,A,1.91
DeleteRoomByID,B,1.79
DeleteRoomScreen,C,1.1
DeleteUserByID,B,1.67
DeleteUserScreen,D,1.2
DisplayReservationCard,C,1.34
DisplayReservationsScreen,D,1.2
DisplayRoomCard,D,1.46
DisplayRoomListScreen,C,1.3
DisplayUserCard,D,1.63
DisplayUserListScreen,C,1.78
ExitScreen,C,1.23
IsDate1BeforeDate2,A,1.36
IsTime1BeforeTime2,B,1.93
MainMenu,B,1.68
PauseProgram,B,1.75
ReadDate,B,1.29
ReadIntBetween,B,1.58
ReadReservationInfo,D,1.45
ReadReservationPeriod,B,1.48
ReadRoomInfo,B,1.34
ReadTime,D,1.32
ReadUserInfo,C,1.22
ReservationManagementMenu,B,1.57
RoomManagementMenu,D,1.45
ScreenHeader,A,1.48
SearchReservationByID,B,1.69
SearchRoomByID,D,1.38
SearchRoomByIDScreen,D,1.54
SearchRoomByName,C,1.8
SearchRoomByNameScreen,D,1.33
SearchUserByFirstName,C,1.51
SearchUserByFirstNameScreen,D,1.27
SearchUserByID,A,2.0
SearchUserByIDScreen,B,1.28
SortReservationsByDate,C,1.74
SortReservationsByDateScreen,A,1.62
SwapReservationData,A,1.22
UserManagementMenu,D,2.25
main,A,1.97

TOTAL_ELAPSED_TIME(sec),83.72
