function,answer,elapsed_time_sec
AddNewReservation,B,1.43
AddNewReservationScreen,D,1.6
AddNewRoom,B,2.18
AddNewRoomScreen,A,2.0
AddNewUser,C,1.93
AddNewUserScreen,A,1.2
CheckRoomAvailabilityScreen,D,2.1
DeleteReservationByID,B,1.62
DeleteReservationScreen,A,2.09
DeleteRoomByID,B,1.27
DeleteRoomScreen,C,2.05
DeleteUserByID,B,2.21
DeleteUserScreen,D,2.04
DisplayReservationCard,C,1.57
DisplayReservationsScreen,D,1.44
DisplayRoomCard,D,2.11
DisplayRoomListScreen,C,1.52
DisplayUserCard,A,1.58
DisplayUserListScreen,C,1.41
ExitScreen,C,1.15
IsDate1BeforeDate2,A,1.77
IsTime1BeforeTime2,B,1.8
MainMenu,B,1.53
PauseProgram,B,1.99
ReadDate,B,1.32
ReadIntBetween,B,2.05
ReadReservationInfo,D,1.21
ReadReservationPeriod,B,2.06
ReadRoomInfo,B,1.21
ReadTime,D,2.28
ReadUserInfo,C,1.87
ReservationManagementMenu,B,1.51
RoomManagementMenu,B,1.35
ScreenHeader,A,1.52
SearchReservationByID,B,2.16
SearchRoomByID,D,1.58
SearchRoomByIDScreen,D,1.47
SearchRoomByName,C,1.59
SearchRoomByNameScreen,B,1.46
SearchUserByFirstName,C,2.13
SearchUserByFirstNameScreen,D,2.23
SearchUserByID,B,1.8
SearchUserByIDScreen,B,2.19
SortReservationsByDate,C,2.32
SortReservationsByDateScreen,C,2.18
SwapReservationData,A,1.2
UserManagementMenu,D,1.55
main,B,1.6

TOTAL_ELAPSED_TIME(sec),93.27
