function,answer,elapsed_time_sec
ReadDate,C,1.27
ReadIntBetween,A,0.86
ReadReservationInfo,A,0.65
ReadReservationPeriod,D,0.63
ReadRoomInfo,C,0.73
ReadTime,D,0.69
ReadUserInfo,D,0.76
ReservationManagementMenu,C,0.64
RoomManagementMenu,C,0.79
ScreenHeader,C,0.8
SearchReservationByID,B,2.69
SearchRoomByID,B,3.25
SearchRoomByIDScreen,B,4.28
SearchRoomByName,D,3.71
SearchRoomByNameScreen,A,3.8
SearchUserByFirstName,B,3.96
SearchUserByFirstNameScreen,A,3.9
SearchUserByID,D,0.91
SearchUserByIDScreen,D,5.72
SortReservationsByDate,B,5.09
SortReservationsByDateScreen,B,0.79
SwapReservationData,C,0.77
UserManagementMenu,A,10.12
main,D,3.98

TOTAL_ELAPSED_TIME(sec),85.06
