function,answer,elapsed_time_sec
AddNewReservation,D,27.95
AddNewReservationScreen,B,32.09
AddNewRoom,C,32.63
AddNewRoomScreen,C,32.77
AddNewUser,A,32.43
AddNewUserScreen,D,32.64
CheckRoomAvailabilityScreen,C,32.63
DeleteReservationByID,B,32.7
DeleteReservationScreen,B,32.68
DeleteRoomByID,D,32.67
DeleteRoomScreen,A,32.66
DeleteUserByID,B,32.6
DeleteUserScreen,A,32.65
DisplayReservationCard,A,32.5
DisplayReservationsScreen,D,32.59
DisplayRoomCard,D,32.79
DisplayRoomListScreen,A,32.49
DisplayUserCard,D,32.7
DisplayUserListScreen,A,32.39
ExitScreen,C,32.65
IsDate1BeforeDate2,D,32.58
IsTime1BeforeTime2,C,32.75
MainMenu,A,34.53
PauseProgram,D,30.81
ReadDate,C,32.56
ReadIntBetween,A,32.71
ReadReservationInfo,A,32.65
ReadReservationPeriod,D,32.67
ReadRoomInfo,C,32.62
ReadTime,D,32.57
ReadUserInfo,D,32.63
ReservationManagementMenu,C,32.74
RoomManagementMenu,C,33.47
ScreenHeader,C,31.81
SearchReservationByID,B,32.65
SearchRoomByID,B,32.66
SearchRoomByIDScreen,B,32.71
SearchRoomByName,D,32.67
SearchRoomByNameScreen,A,32.78
SearchUserByFirstName,C,32.73
SearchUserByFirstNameScreen,A,32.66
SearchUserByID,D,32.7
SearchUserByIDScreen,D,32.5
SortReservationsByDate,B,32.56
SortReservationsByDateScreen,B,32.68
SwapReservationData,C,32.42
UserManagementMenu,A,32.91
main,D,32.73

TOTAL_ELAPSED_TIME(sec),1610.08
