function,answer,elapsed_time_sec
AddNewReservation,D,1.86
AddNewReservationScreen,B,0.59
AddNewRoom,C,16.94
AddNewRoomScreen,C,25.74
AddNewUser,A,25.78
AddNewUserScreen,D,25.86
CheckRoomAvailabilityScreen,C,25.66
DeleteReservationByID,B,25.93
DeleteReservationScreen,B,25.76
DeleteRoomByID,D,25.49
DeleteRoomScreen,A,25.75
DeleteUserByID,B,25.73
DeleteUserScreen,A,25.83
DisplayReservationCard,A,25.99
DisplayReservationsScreen,D,25.41
DisplayRoomCard,D,25.65
DisplayRoomListScreen,A,25.77
DisplayUserCard,D,25.73
DisplayUserListScreen,A,25.79
ExitScreen,C,25.58
IsDate1BeforeDate2,D,25.72
IsTime1BeforeTime2,C,25.68
MainMenu,A,25.86
PauseProgram,D,25.7
ReadDate,C,25.73
ReadIntBetween,A,25.75
ReadReservationInfo,A,25.87
ReadReservationPeriod,D,25.6
ReadRoomInfo,C,25.75
ReadTime,D,25.7
ReadUserInfo,D,25.77
ReservationManagementMenu,C,25.86
RoomManagementMenu,C,25.78
ScreenHeader,C,25.72
SearchReservationByID,B,25.73
SearchRoomByID,B,25.78
SearchRoomByIDScreen,B,25.78
SearchRoomByName,D,25.75
SearchRoomByNameScreen,A,25.82
SearchUserByFirstName,C,26.04
SearchUserByFirstNameScreen,A,25.5
SearchUserByID,D,25.73
SearchUserByIDScreen,D,25.74
SortReservationsByDate,B,25.7
SortReservationsByDateScreen,B,25.65
SwapReservationData,C,25.78
UserManagementMenu,A,25.74
main,C,25.74

TOTAL_ELAPSED_TIME(sec),1226.28
