function,answer,elapsed_time_sec
AddNewReservation,D,1.8
AddNewReservationScreen,B,0.72
AddNewRoom,C,2.75
AddNewRoomScreen,C,3.4
AddNewUser,A,1.41
AddNewUserScreen,D,1.3
CheckRoomAvailabilityScreen,A,1.2
DeleteReservationByID,B,1.44
DeleteReservationScreen,B,6.0
DeleteRoomByID,D,26.81
DeleteRoomScreen,A,1.38
DeleteUserByID,B,1.68
DeleteUserScreen,A,1.32
DisplayReservationCard,A,2.64
DisplayReservationsScreen,D,9.36
DisplayRoomCard,D,1.31
DisplayRoomListScreen,A,31.89
DisplayUserCard,D,23.61
DisplayUserListScreen,A,25.06
ExitScreen,C,20.94
IsDate1BeforeDate2,D,1.34
IsTime1BeforeTime2,C,32.01
MainMenu,A,32.61
PauseProgram,D,24.03
ReadDate,C,25.22
ReadIntBetween,A,24.37
ReadReservationInfo,A,25.39
ReadReservationPeriod,D,24.64
ReadRoomInfo,C,3.72
ReadTime,D,23.29
ReadUserInfo,D,21.2
ReservationManagementMenu,C,26.05
RoomManagementMenu,C,24.01
ScreenHeader,C,24.74
SearchReservationByID,B,1.35
SearchRoomByID,B,2.02
SearchRoomByIDScreen,B,1.37
SearchRoomByName,D,62.66
SearchRoomByNameScreen,A,33.56
SearchUserByFirstName,C,28.83
SearchUserByFirstNameScreen,A,1.18
SearchUserByID,D,32.02
SearchUserByIDScreen,D,31.84
SortReservationsByDate,B,3.76
SortReservationsByDateScreen,B,23.81
SwapReservationData,C,54.62
UserManagementMenu,A,23.12
main,D,27.35

TOTAL_ELAPSED_TIME(sec),806.13,
