function,answer,elapsed_time_sec
AddNewReservation,D,2.5
AddNewReservationScreen,B,0.83
AddNewRoom,C,0.56
AddNewRoomScreen,C,0.9
AddNewUser,A,0.54
AddNewUserScreen,D,6.99
CheckRoomAvailabilityScreen,C,11.34
DeleteReservationByID,B,11.53
DeleteReservationScreen,B,11.62
DeleteRoomByID,D,11.66
DeleteRoomScreen,A,11.44
DeleteUserByID,B,11.63
DeleteUserScreen,A,11.89
DisplayReservationCard,A,11.1
DisplayReservationsScreen,D,11.55
DisplayRoomCard,D,11.51
DisplayRoomListScreen,A,11.63
DisplayUserCard,B,11.58
DisplayUserListScreen,A,11.44
ExitScreen,C,11.55
IsDate1BeforeDate2,D,11.54
IsTime1BeforeTime2,C,11.51
MainMenu,A,11.83
PauseProgram,D,11.31
ReadDate,C,11.51
ReadIntBetween,A,11.63
ReadReservationInfo,A,11.69
ReadReservationPeriod,D,11.58
ReadRoomInfo,C,11.43
ReadTime,D,11.52
ReadUserInfo,D,11.7
ReservationManagementMenu,C,11.68
RoomManagementMenu,C,11.54
ScreenHeader,C,11.61
SearchReservationByID,B,11.47
SearchRoomByID,B,13.41
SearchRoomByIDScreen,B,9.85
SearchRoomByName,D,11.59
SearchRoomByNameScreen,A,11.72
SearchUserByFirstName,C,11.68
SearchUserByFirstNameScreen,A,11.43
SearchUserByID,D,11.73
SearchUserByIDScreen,D,11.56
SortReservationsByDate,B,11.35
SortReservationsByDateScreen,B,11.61
SwapReservationData,C,11.65
UserManagementMenu,A,11.47
main,D,11.57

TOTAL_ELAPSED_TIME(sec),546.55
