function,answer,elapsed_time_sec
AddNewReservation,D,1.46
AddNewReservationScreen,B,0.94
AddNewRoom,C,28.21
AddNewRoomScreen,C,29.3
AddNewUser,A,29.4
AddNewUserScreen,D,29.49
CheckRoomAvailabilityScreen,C,29.64
DeleteReservationByID,B,29.19
DeleteReservationScreen,B,29.59
DeleteRoomByID,D,29.12
DeleteRoomScreen,A,29.44
DeleteUserByID,B,29.43
DeleteUserScreen,A,29.61
DisplayReservationCard,D,29.2
DisplayReservationsScreen,D,29.42
DisplayRoomCard,D,29.26
DisplayRoomListScreen,A,29.78
DisplayUserCard,D,29.31
DisplayUserListScreen,A,28.88
ExitScreen,C,29.42
IsDate1BeforeDate2,D,29.29
IsTime1BeforeTime2,C,29.47
MainMenu,A,29.42
PauseProgram,D,29.43
ReadDate,C,29.38
ReadIntBetween,A,29.56
ReadReservationInfo,A,29.84
ReadReservationPeriod,D,28.89
ReadRoomInfo,C,29.47
ReadTime,D,29.43
ReadUserInfo,D,29.39
ReservationManagementMenu,C,29.45
RoomManagementMenu,C,29.51
ScreenHeader,C,29.33
SearchReservationByID,B,29.43
SearchRoomByID,B,29.71
SearchRoomByIDScreen,B,29.28
SearchRoomByName,D,29.36
SearchRoomByNameScreen,A,29.55
SearchUserByFirstName,C,29.49
SearchUserByFirstNameScreen,A,29.43
SearchUserByID,D,29.29
SearchUserByIDScreen,D,29.49
SortReservationsByDate,B,29.41
SortReservationsByDateScreen,B,29.33
SwapReservationData,C,29.31
UserManagementMenu,A,30.04
main,D,28.67

TOTAL_ELAPSED_TIME(sec),1402.88
