function,answer,elapsed_time_sec
AddNewReservation,D,1.12
AddNewReservationScreen,B,12.91
AddNewRoom,C,21.77
AddNewRoomScreen,C,21.74
AddNewUser,A,21.88
AddNewUserScreen,D,21.66
CheckRoomAvailabilityScreen,C,21.72
DeleteReservationByID,B,21.94
DeleteReservationScreen,B,21.67
DeleteRoomByID,D,21.59
DeleteRoomScreen,A,21.84
DeleteUserByID,B,21.68
DeleteUserScreen,A,21.78
DisplayReservationCard,D,22.01
DisplayReservationsScreen,D,21.44
DisplayRoomCard,D,22.05
DisplayRoomListScreen,A,21.47
DisplayUserCard,D,21.69
DisplayUserListScreen,A,21.78
ExitScreen,C,21.75
IsDate1BeforeDate2,D,21.71
IsTime1BeforeTime2,C,21.81
MainMenu,A,21.82
PauseProgram,D,21.77
ReadDate,C,21.98
ReadIntBetween,A,21.6
ReadReservationInfo,A,21.69
ReadReservationPeriod,D,21.78
ReadRoomInfo,C,21.84
ReadTime,D,21.66
ReadUserInfo,D,21.76
ReservationManagementMenu,C,22.04
RoomManagementMenu,C,21.66
ScreenHeader,C,21.67
SearchReservationByID,B,21.9
SearchRoomByID,B,21.71
SearchRoomByIDScreen,B,22.06
SearchRoomByName,D,21.64
SearchRoomByNameScreen,A,21.8
SearchUserByFirstName,C,21.89
SearchUserByFirstNameScreen,A,21.72
SearchUserByID,D,22.25
SearchUserByIDScreen,D,21.85
SortReservationsByDate,B,21.1
SortReservationsByDateScreen,B,21.68
SwapReservationData,C,21.8
UserManagementMenu,A,21.71
main,D,21.82

TOTAL_ELAPSED_TIME(sec),1063.6
