function,answer,elapsed_time_sec
AddNewReservation,D,1.53
AddNewReservationScreen,B,0.6
AddNewRoom,C,0.48
AddNewRoomScreen,C,11.83
AddNewUser,A,18.05
AddNewUserScreen,D,18.12
CheckRoomAvailabilityScreen,C,18.13
DeleteReservationByID,B,18.14
DeleteReservationScreen,B,17.99
DeleteRoomByID,D,18.09
DeleteRoomScreen,A,18.02
DeleteUserByID,B,18.36
DeleteUserScreen,A,17.83
DisplayReservationCard,D,18.03
DisplayReservationsScreen,D,17.98
DisplayRoomCard,D,18.04
DisplayRoomListScreen,A,18.07
DisplayUserCard,D,18.02
DisplayUserListScreen,A,18.13
ExitScreen,C,17.96
IsDate1BeforeDate2,D,18.14
IsTime1BeforeTime2,C,18.16
MainMenu,A,18.1
PauseProgram,D,18.07
ReadDate,C,18.01
ReadIntBetween,A,18.16
ReadReservationInfo,A,18.53
ReadReservationPeriod,D,17.66
ReadRoomInfo,C,18.15
ReadTime,D,17.88
ReadUserInfo,D,18.17
ReservationManagementMenu,C,18.17
RoomManagementMenu,C,17.97
ScreenHeader,C,18.19
SearchReservationByID,B,18.18
SearchRoomByID,B,18.0
SearchRoomByIDScreen,B,18.16
SearchRoomByName,D,18.1
SearchRoomByNameScreen,A,18.31
SearchUserByFirstName,C,18.39
SearchUserByFirstNameScreen,A,17.76
SearchUserByID,D,17.95
SearchUserByIDScreen,D,18.07
SortReservationsByDate,B,18.49
SortReservationsByDateScreen,B,17.62
SwapReservationData,C,17.98
UserManagementMenu,A,18.16
main,D,18.06

TOTAL_ELAPSED_TIME(sec),858.61
