function,answer,elapsed_time_sec
AddNewReservation,D,1.55
AddNewReservationScreen,B,0.62
AddNewRoom,C,6.45
AddNewRoomScreen,C,14.07
AddNewUser,A,14.18
AddNewUserScreen,D,14.68
CheckRoomAvailabilityScreen,C,13.91
DeleteReservationByID,B,14.2
DeleteReservationScreen,B,14.28
DeleteRoomByID,D,14.21
DeleteRoomScreen,A,14.28
DeleteUserByID,B,14.25
DeleteUserScreen,A,14.45
DisplayReservationCard,D,14.17
DisplayReservationsScreen,D,13.9
DisplayRoomCard,D,14.35
DisplayRoomListScreen,A,14.2
DisplayUserCard,B,14.23
DisplayUserListScreen,A,14.12
ExitScreen,C,14.19
IsDate1BeforeDate2,D,14.26
IsTime1BeforeTime2,C,14.21
MainMenu,A,14.35
PauseProgram,D,14.27
ReadDate,C,14.16
ReadIntBetween,A,14.56
ReadReservationInfo,A,13.95
ReadReservationPeriod,D,14.22
ReadRoomInfo,C,14.35
ReadTime,D,14.15
ReadUserInfo,D,14.24
ReservationManagementMenu,C,15.02
RoomManagementMenu,C,13.86
ScreenHeader,C,14.28
SearchReservationByID,B,14.02
SearchRoomByID,B,14.24
SearchRoomByIDScreen,B,14.45
SearchRoomByName,D,14.1
SearchRoomByNameScreen,A,14.32
SearchUserByFirstName,C,14.91
SearchUserByFirstNameScreen,A,13.76
SearchUserByID,D,14.18
SearchUserByIDScreen,D,14.25
SortReservationsByDate,B,14.08
SortReservationsByDateScreen,B,14.63
SwapReservationData,C,13.86
UserManagementMenu,A,14.73
main,D,13.72

TOTAL_ELAPSED_TIME(sec),697.81
