id,function,bleurt,ref,hyp
F001,PauseProgram,0.7528631687164307,この関数は、ユーザーにEnterキーを押すよう促し、押された後にメインメニューに戻るための一時停止を実行します。,この関数は、ユーザーがEnterキーを押すまでプログラムを一時停止し、メインメニューに戻るよう促すためのものです。
F002,ScreenHeader,0.6694204807281494,指定されたタイトルを画面上に装飾付きで表示するための関数で、画面をクリアした後にタイトルを囲む形でアスタリスクのラインを追加して出力します。,この関数は、画面をクリアした後、指定されたタイトルを装飾ラインで囲んで標準出力に表示します。
F003,ReadIntBetween,0.7526683211326599,指定された範囲内の整数をユーザーから入力させ、その値を返す関数です。範囲外の値が入力された場合は、再入力を促します。,この関数は、ユーザーに指定された範囲内の整数を入力させ、範囲外の入力があった場合は再入力を促し、範囲内の整数が入力されるとその整数を返します。
F004,ReadDate,0.6921120285987854,ユーザーに日付入力を促すメッセージを表示し、入力された日、月、年をそれぞれ整数として読み取り、stDate構造体に格納して返す関数です。,ユーザーから日付を入力として受け取り、それをstDate構造体に格納して返す関数です。
F005,ReadTime,0.7953158020973206,ユーザーにメッセージを表示して時刻（時間と分）を入力させ、その入力された時刻をstTime構造体として返す関数です。,ユーザーにメッセージを表示して時と分を入力させ、それをstTime構造体に格納して返す関数です。
F006,IsDate1BeforeDate2,0.921772301197052,この関数は、2つの日付を比較し、最初の日付が2番目の日付よりも前であるかどうかを判定します。,この関数は、2つの日付を比較して、最初の日付が2番目の日付よりも前であるかどうかを判定します。
F007,IsTime1BeforeTime2,0.7386215925216675,この関数は、2つの時間構造体を比較し、最初の時間が2番目の時間よりも前であるかどうかを判定します。,この関数は、与えられた2つの時間（Time1とTime2）を比較し、Time1がTime2よりも前の時間であるかどうかを判定します。
F008,ExitScreen,0.3607115149497986,この関数は、コンソール画面をクリアした後、プロジェクトの終了画面を表示し、開発者の名前とグループ番号を示します。,このC関数 `ExitScreen` は、2つの日付 `Date1` と `Date2` を比較し、`Date1` の日が `Date2` の日よりも前であるかどうかを判定します。
F009,MainMenu,0.6741575598716736,この関数は、ユーザー、部屋、予約の管理メニューを選択できるメインメニューを表示し、ユーザーの選択に応じてそれぞれの管理メニューを呼び出す機能を提供します。選択肢にはユーザー管理、部屋管理、予約管理、およびプログラムの終了が含まれ、ユーザーが終了を選択するまでループします。,この関数は、ユーザーにメインメニューを表示し、選択に応じてユーザー管理、部屋管理、予約管理の各メニューを呼び出し、選択が4の場合はプログラムを終了する役割を持ちます。
F010,main,0.5691762566566467,この関数は、プログラムのエントリーポイントとしてメインメニューを表示する処理を開始します。,この関数は、プログラムのエントリーポイントとしてメインメニューを表示し、正常終了を示す0を返します。
F011,DisplayUserCard,0.6895338296890259,指定されたユーザー情報（ID、名前、姓）をフォーマットされた形でコンソールに表示する関数です。,この関数は、ユーザー構造体の情報をフォーマットして、ID、名前、姓を標準出力に表示します。
F012,ReadUserInfo,0.6089613437652588,この関数は、ユーザーのID、名前、姓を標準入力から取得し、指定されたユーザー情報構造体に格納します。IDは0から9999の範囲で整数として読み取られ、次のユーザー情報へのポインタはNULLに初期化されます。,この関数は、ユーザーからID、名前、苗字を入力させ、それらを指定されたUserPtr構造体に格納し、NextポインタをNULLに設定します。
F013,SearchUserByFirstName,0.6289709210395813,与えられたユーザーリストから指定された名前と一致するユーザーを検索し、該当するユーザーが存在する場合はそのユーザー情報を表示し、存在フラグを更新します。,ユーザーリストを線形探索し、指定された名前と一致するユーザーが見つかった場合にその情報を表示し、フラグをtrueに設定します。
F014,SearchUserByID,0.7757753729820251,この関数は、ユーザーのリストを線形に探索し、指定されたIDを持つユーザーを見つけてそのポインタを返します。見つからない場合はNULLを返します。,この関数は、ユーザーリストを順に走査して指定されたIDを持つユーザーを検索し、見つかればそのユーザーへのポインタを返し、見つからなければNULLを返します。
F015,AddNewUser,0.7539563775062561,この関数は、新しいユーザーを既存のユーザーリストの末尾に追加し、更新されたユーザーリストを返します。ユーザーリストが空の場合は、新しいユーザーをリストの先頭として設定します。,この関数は、新しいユーザーを既存のユーザーリストの末尾に追加し、更新されたユーザーリストを返します。
F016,DeleteUserByID,0.7697317600250244,指定されたIDを持つユーザーをリンクリストから削除し、更新されたリストを返す関数です。,指定されたIDを持つユーザーをリンクリストから見つけて削除し、リストを更新して返します。
