id,function,bleurt,ref,hyp
F001,PauseProgram,0.7528631687164307,この関数は、ユーザーにEnterキーを押すよう促し、押された後にメインメニューに戻るための一時停止を実行します。,この関数は、ユーザーがEnterキーを押すまでプログラムを一時停止し、メインメニューに戻るよう促すためのものです。
F002,ScreenHeader,0.5815725922584534,指定されたタイトルを画面上に装飾付きで表示するための関数で、画面をクリアした後にタイトルを囲む形でアスタリスクのラインを追加して出力します。,この関数は、指定されたタイトルを画面のヘッダーとして装飾ラインで囲んで表示するために画面をクリアしてから標準出力に出力します。
F003,ReadIntBetween,0.698665976524353,指定された範囲内の整数をユーザーから入力させ、その値を返す関数です。範囲外の値が入力された場合は、再入力を促します。,この関数は、ユーザーに指定された範囲内の整数を入力させ、その入力が範囲内に収まるまで再入力を促す機能を持っています。
F004,ReadDate,0.6921120285987854,ユーザーに日付入力を促すメッセージを表示し、入力された日、月、年をそれぞれ整数として読み取り、stDate構造体に格納して返す関数です。,ユーザーから日付を入力として受け取り、それをstDate構造体に格納して返す関数です。
F005,ReadTime,0.68693608045578,ユーザーにメッセージを表示して時刻（時間と分）を入力させ、その入力された時刻をstTime構造体として返す関数です。,ユーザーから標準入力で時と分を取得し、それをstTime構造体に格納して返す関数です。
F006,IsDate1BeforeDate2,0.8276820778846741,この関数は、2つの日付を比較し、最初の日付が2番目の日付よりも前であるかどうかを判定します。,この関数は、2つの日付を年、月、日の順に比較し、最初の日付が2番目の日付よりも前であるかどうかを判定します。
F007,IsTime1BeforeTime2,0.769795835018158,この関数は、2つの時間構造体を比較し、最初の時間が2番目の時間よりも前であるかどうかを判定します。,この関数は、2つの時間構造体を比較し、Time1がTime2よりも前の時間であるかどうかを判定します。
F008,ExitScreen,0.3812088966369629,この関数は、コンソール画面をクリアした後、プロジェクトの終了画面を表示し、開発者の名前とグループ番号を示します。,このC関数は、2つの時間構造体 `Time1` と `Time2` を比較し、`Time1` が `Time2` よりも早い時間であるかどうかを判定して、早ければ `true` を返し、そうでなければ `false` を返します。
F009,MainMenu,0.6838333010673523,この関数は、ユーザー、部屋、予約の管理メニューを選択できるメインメニューを表示し、ユーザーの選択に応じてそれぞれの管理メニューを呼び出す機能を提供します。選択肢にはユーザー管理、部屋管理、予約管理、およびプログラムの終了が含まれ、ユーザーが終了を選択するまでループします。,この関数は、ユーザーにメインメニューを表示し、選択されたオプションに応じてユーザー管理、部屋管理、予約管理の各メニューを呼び出す役割を果たします。
F010,main,0.7306050062179565,この関数は、プログラムのエントリーポイントとしてメインメニューを表示する処理を開始します。,この関数は、プログラムのエントリーポイントとしてメインメニューを表示し、その後プログラムを終了するために使用されます。
F011,DisplayUserCard,0.6052558422088623,指定されたユーザー情報（ID、名前、姓）をフォーマットされた形でコンソールに表示する関数です。,この関数は、ユーザー構造体の情報を整形してコンソールに表示するためのものです。
F012,ReadUserInfo,0.5618078708648682,この関数は、ユーザーのID、名前、姓を標準入力から取得し、指定されたユーザー情報構造体に格納します。IDは0から9999の範囲で整数として読み取られ、次のユーザー情報へのポインタはNULLに初期化されます。,この関数は、ユーザーにID、名前、苗字を入力させ、それらの情報を指定されたUserPtr構造体に格納します。
F013,SearchUserByFirstName,0.6229366660118103,与えられたユーザーリストから指定された名前と一致するユーザーを検索し、該当するユーザーが存在する場合はそのユーザー情報を表示し、存在フラグを更新します。,この関数は、ユーザーリストを線形探索して指定された名前と一致するユーザーを見つけ、その情報を表示し、見つかったことを示すフラグを設定します。
F014,SearchUserByID,0.6566759347915649,この関数は、ユーザーのリストを線形に探索し、指定されたIDを持つユーザーを見つけてそのポインタを返します。見つからない場合はNULLを返します。,この関数は、ユーザーリストを先頭から順に走査し、指定されたIDを持つユーザーを検索して見つかった場合にそのユーザーを返すことを目的としています。
F015,AddNewUser,0.7216440439224243,この関数は、新しいユーザーを既存のユーザーリストの末尾に追加し、更新されたユーザーリストを返します。ユーザーリストが空の場合は、新しいユーザーをリストの先頭として設定します。,この関数は、新しいユーザーを既存のユーザーリストの末尾に追加し、ユーザーリストが空の場合は新しいユーザーを返します。
F016,DeleteUserByID,0.7112476229667664,指定されたIDを持つユーザーをリンクリストから削除し、更新されたリストを返す関数です。,この関数は、リンクリストを線形探索して指定されたIDを持つユーザーを見つけて削除し、リストを更新します。
F017,AddNewUserScreen,0.6661049723625183,この関数は、新しいユーザー情報を入力し、ユーザーリストに追加する処理を行います。既存のユーザーIDと重複がない場合にのみ追加し、重複がある場合はその旨を通知します。,この関数は、新しいユーザー情報を入力し、既存のユーザーリストに同じIDのユーザーがいない場合にそのユーザーをリストに追加する画面を表示します。
F018,SearchUserByFirstNameScreen,0.6745641231536865,この関数は、ユーザーリストから指定された名前でユーザーを検索し、見つからなかった場合には「ユーザーが見つからない」と表示する画面を提供します。,この関数は、ユーザーに名前を入力させ、その名前でユーザーリストを検索し、該当するユーザーが存在するかどうかを表示します。
F019,SearchUserByIDScreen,0.7361928224563599,この関数は、ユーザーリストから指定されたIDのユーザーを検索し、見つかった場合はそのユーザーの情報を表示し、見つからなかった場合は「ユーザーが見つからない」と表示します。,この関数は、ユーザーにIDを入力させ、そのIDに基づいてユーザーリストから該当するユーザーを検索し、見つかった場合はそのユーザー情報を表示する機能を提供します。
F020,DisplayUserListScreen,0.6604704260826111,この関数は、ユーザーのリストを画面に表示し、リストが空の場合はその旨を通知します。リスト内の各ユーザーについては、個別のユーザーカードを表示し、処理の最後にプログラムを一時停止します。,ユーザーリストを画面に表示し、リストが空の場合はその旨を通知する関数です。
