id,function,bleurt,ref,hyp
F001,PauseProgram,0.7810207605361938,この関数は、ユーザーにEnterキーを押すよう促し、押された後にメインメニューに戻るための一時停止を実行します。,ユーザーにEnterキーを押させてメインメニューに戻るための一時停止を実装する関数です。
F002,ScreenHeader,0.39931637048721313,指定されたタイトルを画面上に装飾付きで表示するための関数で、画面をクリアした後にタイトルを囲む形でアスタリスクのラインを追加して出力します。,この関数は、指定されたタイトルを画面のヘッダーとしてクリアしたコンソールに表示します。
F003,ReadIntBetween,0.5683523416519165,指定された範囲内の整数をユーザーから入力させ、その値を返す関数です。範囲外の値が入力された場合は、再入力を促します。,`ReadIntBetween` 関数は、指定された範囲内の整数をユーザーから入力させ、その整数を返すことを目的としています。
F004,ReadDate,0.6728370785713196,ユーザーに日付入力を促すメッセージを表示し、入力された日、月、年をそれぞれ整数として読み取り、stDate構造体に格納して返す関数です。,この関数は、指定されたメッセージを表示し、ユーザーから日付（年、月、日）を入力させて、その日付を構造体として返すことを目的としています。
F005,ReadTime,0.7794544696807861,ユーザーにメッセージを表示して時刻（時間と分）を入力させ、その入力された時刻をstTime構造体として返す関数です。,`ReadTime` 関数は、ユーザーにメッセージを表示して時刻（時間と分）を入力させ、その時刻を `stTime` 構造体として返すことを目的としています。
F006,IsDate1BeforeDate2,0.9575342535972595,この関数は、2つの日付を比較し、最初の日付が2番目の日付よりも前であるかどうかを判定します。,この関数は、2つの日付を比較し、最初の日付が2番目の日付よりも前であるかどうかを判定します。
F007,IsTime1BeforeTime2,0.6951382756233215,この関数は、2つの時間構造体を比較し、最初の時間が2番目の時間よりも前であるかどうかを判定します。,この関数は、`stTime` 型の2つの時間を比較し、`Time1` が `Time2` よりも前の時間であるかどうかを判定します。
F008,ExitScreen,0.6353735327720642,この関数は、コンソール画面をクリアした後、プロジェクトの終了画面を表示し、開発者の名前とグループ番号を示します。,この関数 `ExitScreen` は、コンソール画面をクリアし、プロジェクトの終了画面として作成者の情報を表示します。
F009,MainMenu,0.6306653022766113,この関数は、ユーザー、部屋、予約の管理メニューを選択できるメインメニューを表示し、ユーザーの選択に応じてそれぞれの管理メニューを呼び出す機能を提供します。選択肢にはユーザー管理、部屋管理、予約管理、およびプログラムの終了が含まれ、ユーザーが終了を選択するまでループします。,この関数は、ユーザー、部屋、予約の管理メニューを提供し、ユーザーの選択に応じてそれぞれの管理メニューに遷移するメインメニューを表示します。
F010,main,0.6346439123153687,この関数は、プログラムのエントリーポイントとしてメインメニューを表示する処理を開始します。,この関数は、プログラムのメインメニューを表示するために `MainMenu` 関数を呼び出し、その後プログラムを終了することを目的としています。
