id,function,bleurt,ref,hyp
F001,PauseProgram,0.7528631687164307,この関数は、ユーザーにEnterキーを押すよう促し、押された後にメインメニューに戻るための一時停止を実行します。,この関数は、ユーザーがEnterキーを押すまでプログラムを一時停止し、メインメニューに戻るよう促すためのものです。
F002,ScreenHeader,0.6154708862304688,指定されたタイトルを画面上に装飾付きで表示するための関数で、画面をクリアした後にタイトルを囲む形でアスタリスクのラインを追加して出力します。,この関数は、コンソールアプリケーションで画面をクリアし、指定されたタイトルを装飾ラインで囲んで標準出力に表示するために使用されます。
F003,ReadIntBetween,0.7526683211326599,指定された範囲内の整数をユーザーから入力させ、その値を返す関数です。範囲外の値が入力された場合は、再入力を促します。,この関数は、ユーザーに指定された範囲内の整数を入力させ、範囲外の入力があった場合は再入力を促し、範囲内の整数が入力されるとその整数を返します。
F004,ReadDate,0.6921120285987854,ユーザーに日付入力を促すメッセージを表示し、入力された日、月、年をそれぞれ整数として読み取り、stDate構造体に格納して返す関数です。,ユーザーから日付を入力として受け取り、それをstDate構造体に格納して返す関数です。
F005,ReadTime,0.707240104675293,ユーザーにメッセージを表示して時刻（時間と分）を入力させ、その入力された時刻をstTime構造体として返す関数です。,ユーザーから時と分を入力として受け取り、それをstTime構造体に格納して返す関数です。
F006,IsDate1BeforeDate2,0.921772301197052,この関数は、2つの日付を比較し、最初の日付が2番目の日付よりも前であるかどうかを判定します。,この関数は、2つの日付を比較して、最初の日付が2番目の日付よりも前であるかどうかを判定します。
F007,IsTime1BeforeTime2,0.7766628265380859,この関数は、2つの時間構造体を比較し、最初の時間が2番目の時間よりも前であるかどうかを判定します。,この関数は、2つの時間を比較して、最初の時間が2番目の時間よりも前であるかどうかを判定します。
F008,ExitScreen,0.2161741852760315,この関数は、コンソール画面をクリアした後、プロジェクトの終了画面を表示し、開発者の名前とグループ番号を示します。,C関数 `IsDate1BeforeDate2` は、2つの日付を比較し、最初の日付が2番目の日付より前であるかどうかを判定して、その結果を真偽値で返します。
F009,MainMenu,0.6741575598716736,この関数は、ユーザー、部屋、予約の管理メニューを選択できるメインメニューを表示し、ユーザーの選択に応じてそれぞれの管理メニューを呼び出す機能を提供します。選択肢にはユーザー管理、部屋管理、予約管理、およびプログラムの終了が含まれ、ユーザーが終了を選択するまでループします。,この関数は、ユーザーにメインメニューを表示し、選択に応じてユーザー管理、部屋管理、予約管理の各メニューを呼び出し、選択が4の場合はプログラムを終了する役割を持ちます。
F010,main,0.5815091729164124,この関数は、プログラムのエントリーポイントとしてメインメニューを表示する処理を開始します。,この関数は、プログラムの開始地点としてメインメニューを表示し、正常終了を示すために終了コード0を返します。
F011,DisplayUserCard,0.6964111328125,指定されたユーザー情報（ID、名前、姓）をフォーマットされた形でコンソールに表示する関数です。,この関数は、ユーザー構造体のポインタを受け取り、そのID、名前、姓を一貫したフォーマットでコンソールに表示することを目的としています。
F012,ReadUserInfo,0.6283655762672424,この関数は、ユーザーのID、名前、姓を標準入力から取得し、指定されたユーザー情報構造体に格納します。IDは0から9999の範囲で整数として読み取られ、次のユーザー情報へのポインタはNULLに初期化されます。,この関数は、ユーザーからID、名前、苗字を入力させ、それらを指定された構造体に格納し、IDが範囲外の場合は再入力を促し、NextポインタをNULLに設定することでユーザー情報を初期化または更新します。
F013,SearchUserByFirstName,0.6012045741081238,与えられたユーザーリストから指定された名前と一致するユーザーを検索し、該当するユーザーが存在する場合はそのユーザー情報を表示し、存在フラグを更新します。,この関数は、ユーザーリストを線形探索して指定された名前と一致するユーザーを見つけ、その情報を表示し、見つかった場合にフラグをtrueに設定します。
F014,SearchUserByID,0.7269055843353271,この関数は、ユーザーのリストを線形に探索し、指定されたIDを持つユーザーを見つけてそのポインタを返します。見つからない場合はNULLを返します。,この関数は、ユーザー管理システムにおいて、ユーザーリストから指定されたIDを持つユーザーを検索し、そのユーザーが見つかればポインタを返し、見つからなければNULLを返す。
F015,AddNewUser,0.6870722770690918,この関数は、新しいユーザーを既存のユーザーリストの末尾に追加し、更新されたユーザーリストを返します。ユーザーリストが空の場合は、新しいユーザーをリストの先頭として設定します。,この関数は、ユーザー管理システムにおいて、新しいユーザーを既存のユーザーリストの末尾に追加し、更新されたリストを返します。
F016,DeleteUserByID,0.891349196434021,指定されたIDを持つユーザーをリンクリストから削除し、更新されたリストを返す関数です。,指定されたIDを持つユーザーをリンクリストから削除し、リストを更新して返す関数です。
