function,answer,elapsed_time_sec
AddNewReservation,D,6.87
AddNewReservationScreen,B,0.92
AddNewRoom,C,3.79
AddNewRoomScreen,B,4.87
AddNewUser,A,2.51
AddNewUserScreen,D,3.83
CheckRoomAvailabilityScreen,C,3.76
DeleteReservationByID,B,2.55
DeleteReservationScreen,B,0.93
DeleteRoomByID,D,0.94
DeleteRoomScreen,A,2.38
DeleteUserByID,D,1.0
DeleteUserScreen,A,4.63
DisplayReservationCard,D,5.38
DisplayReservationsScreen,D,0.97
DisplayRoomCard,D,0.95
DisplayRoomListScreen,D,3.45
DisplayUserCard,D,0.96
DisplayUserListScreen,A,4.61
ExitScreen,C,7.27
IsDate1BeforeDate2,D,2.93
IsTime1BeforeTime2,B,3.63
MainMenu,C,1.11
PauseProgram,B,2.14
ReadDate,C,5.01
ReadIntBetween,D,0.94
ReadReservationInfo,B,0.96
ReadReservationPeriod,D,2.54
ReadRoomInfo,C,4.21
ReadTime,D,0.92
ReadUserInfo,C,0.93
ReservationManagementMenu,C,4.22
RoomManagementMenu,A,2.92
ScreenHeader,C,6.59
SearchReservationByID,B,1.62
SearchRoomByID,B,7.69
SearchRoomByIDScreen,B,5.68
SearchRoomByName,D,5.14
SearchRoomByNameScreen,A,3.35
SearchUserByFirstName,B,0.93
SearchUserByFirstNameScreen,A,8.45
SearchUserByID,D,2.12
SearchUserByIDScreen,D,2.63
SortReservationsByDate,B,4.97
SortReservationsByDateScreen,B,6.66
SwapReservationData,D,0.93
UserManagementMenu,D,2.14
main,C,1.88

TOTAL_ELAPSED_TIME(sec),165.56
