function,answer,elapsed_time_sec
AddNewReservation,D,3.92
AddNewReservationScreen,B,3.96
AddNewRoom,C,2.92
AddNewRoomScreen,C,0.95
AddNewUser,A,0.96
AddNewUserScreen,D,0.94
CheckRoomAvailabilityScreen,C,6.74
DeleteReservationByID,B,0.92
DeleteReservationScreen,B,3.29
DeleteRoomByID,D,4.91
DeleteRoomScreen,B,2.55
DeleteUserByID,D,2.02
DeleteUserScreen,D,5.96
DisplayReservationCard,D,0.9
DisplayReservationsScreen,D,4.11
DisplayRoomCard,D,0.9
DisplayRoomListScreen,D,4.2
DisplayUserCard,D,2.38
DisplayUserListScreen,A,2.99
ExitScreen,A,5.18
IsDate1BeforeDate2,D,4.1
IsTime1BeforeTime2,B,6.71
MainMenu,C,7.13
PauseProgram,D,3.31
ReadDate,C,4.08
ReadIntBetween,D,0.94
ReadReservationInfo,B,1.14
ReadReservationPeriod,D,3.46
ReadRoomInfo,D,4.54
ReadTime,D,4.82
ReadUserInfo,C,0.92
ReservationManagementMenu,C,2.89
RoomManagementMenu,C,4.16
ScreenHeader,C,1.01
SearchReservationByID,B,1.0
SearchRoomByID,B,6.48
SearchRoomByIDScreen,B,5.66
SearchRoomByName,D,8.74
SearchRoomByNameScreen,B,0.91
SearchUserByFirstName,B,0.93
SearchUserByFirstNameScreen,C,0.95
SearchUserByID,D,2.25
SearchUserByIDScreen,D,4.81
SortReservationsByDate,B,0.93
SortReservationsByDateScreen,B,3.46
SwapReservationData,D,2.27
UserManagementMenu,D,0.94
main,D,4.59

TOTAL_ELAPSED_TIME(sec),163.49
