function,answer,elapsed_time_sec
AddNewReservation,D,6.21
AddNewReservationScreen,B,0.89
AddNewRoom,C,0.91
AddNewRoomScreen,C,5.04
AddNewUser,A,3.36
AddNewUserScreen,D,5.64
CheckRoomAvailabilityScreen,C,5.99
DeleteReservationByID,B,4.87
DeleteReservationScreen,B,2.45
DeleteRoomByID,D,0.88
DeleteRoomScreen,A,8.08
DeleteUserByID,B,0.88
DeleteUserScreen,A,5.15
DisplayReservationCard,D,3.71
DisplayReservationsScreen,D,4.92
DisplayRoomCard,D,4.28
DisplayRoomListScreen,D,2.95
DisplayUserCard,D,0.89
DisplayUserListScreen,A,4.76
ExitScreen,C,2.65
IsDate1BeforeDate2,D,4.21
IsTime1BeforeTime2,C,5.72
MainMenu,C,5.8
PauseProgram,B,0.89
ReadDate,C,6.49
ReadIntBetween,D,0.9
ReadReservationInfo,B,3.96
ReadReservationPeriod,D,3.94
ReadRoomInfo,D,5.86
ReadTime,D,5.64
ReadUserInfo,D,0.87
ReservationManagementMenu,C,3.59
RoomManagementMenu,C,6.69
ScreenHeader,C,1.6
SearchReservationByID,B,0.89
SearchRoomByID,B,4.52
SearchRoomByIDScreen,B,4.45
SearchRoomByName,D,5.68
SearchRoomByNameScreen,A,3.3
SearchUserByFirstName,B,0.87
SearchUserByFirstNameScreen,C,8.5
SearchUserByID,D,5.25
SearchUserByIDScreen,D,4.89
SortReservationsByDate,B,4.51
SortReservationsByDateScreen,B,5.07
SwapReservationData,C,7.95
UserManagementMenu,D,4.86
main,C,3.36

TOTAL_ELAPSED_TIME(sec),204.4
