function,answer,elapsed_time_sec
AddNewReservation,D,2.39
AddNewReservationScreen,B,3.02
AddNewRoom,C,4.47
AddNewRoomScreen,C,4.94
AddNewUser,B,3.79
AddNewUserScreen,D,3.02
CheckRoomAvailabilityScreen,C,8.13
DeleteReservationByID,B,2.85
DeleteReservationScreen,B,4.12
DeleteRoomByID,A,4.82
DeleteRoomScreen,A,2.71
DeleteUserByID,D,8.15
DeleteUserScreen,D,5.89
DisplayReservationCard,D,3.23
DisplayReservationsScreen,D,5.31
DisplayRoomCard,D,2.1
DisplayRoomListScreen,D,4.17
DisplayUserCard,D,1.61
DisplayUserListScreen,A,1.95
ExitScreen,A,3.48
IsDate1BeforeDate2,D,3.57
IsTime1BeforeTime2,C,6.23
MainMenu,C,8.86
PauseProgram,D,3.29
ReadDate,C,3.31
ReadIntBetween,D,1.0
ReadReservationInfo,B,4.0
ReadReservationPeriod,D,1.01
ReadRoomInfo,D,4.74
ReadTime,A,5.98
ReadUserInfo,C,2.21
ReservationManagementMenu,C,3.44
RoomManagementMenu,C,1.52
ScreenHeader,C,2.92
SearchReservationByID,B,6.01
SearchRoomByID,C,5.33
SearchRoomByIDScreen,B,6.22
SearchRoomByName,C,7.05
SearchRoomByNameScreen,A,7.33
SearchUserByFirstName,B,5.74
SearchUserByFirstNameScreen,C,4.21
SearchUserByID,D,2.23
SearchUserByIDScreen,D,2.65
SortReservationsByDate,B,5.15
SortReservationsByDateScreen,B,3.07
SwapReservationData,D,5.26
UserManagementMenu,D,3.89
main,D,3.38

TOTAL_ELAPSED_TIME(sec),209.46
