function,answer,elapsed_time_sec
AddNewReservation,D,20.65
AddNewReservationScreen,B,2.82
AddNewRoom,C,5.57
AddNewRoomScreen,C,3.61
AddNewUser,A,0.79
AddNewUserScreen,D,3.17
CheckRoomAvailabilityScreen,C,0.81
DeleteReservationByID,B,0.81
DeleteReservationScreen,B,5.64
DeleteRoomByID,A,5.28
DeleteRoomScreen,A,4.72
DeleteUserByID,D,4.54
DeleteUserScreen,A,0.84
DisplayReservationCard,D,5.17
DisplayReservationsScreen,D,5.56
DisplayRoomCard,D,0.82
DisplayRoomListScreen,D,5.01
DisplayUserCard,D,4.06
DisplayUserListScreen,A,3.27
ExitScreen,C,3.58
IsDate1BeforeDate2,D,2.52
IsTime1BeforeTime2,B,4.76
MainMenu,C,0.81
PauseProgram,D,7.19
ReadDate,C,5.96
ReadIntBetween,D,3.45
ReadReservationInfo,B,3.56
ReadReservationPeriod,D,0.81
ReadRoomInfo,D,2.8
ReadTime,D,3.79
ReadUserInfo,C,0.81
ReservationManagementMenu,C,5.17
RoomManagementMenu,C,0.83
ScreenHeader,C,5.56
SearchReservationByID,B,1.46
SearchRoomByID,C,5.83
SearchRoomByIDScreen,B,0.81
SearchRoomByName,D,6.06
SearchRoomByNameScreen,B,3.96
SearchUserByFirstName,B,4.92
SearchUserByFirstNameScreen,A,4.27
SearchUserByID,D,5.56
SearchUserByIDScreen,D,3.0
SortReservationsByDate,B,3.45
SortReservationsByDateScreen,B,2.33
SwapReservationData,C,5.18
UserManagementMenu,D,2.2
main,D,8.35

TOTAL_ELAPSED_TIME(sec),201.81
