function,answer,elapsed_time_sec
AddNewReservation,D,5.02
AddNewReservationScreen,B,0.91
AddNewRoom,C,5.68
AddNewRoomScreen,B,2.95
AddNewUser,A,0.89
AddNewUserScreen,D,5.64
CheckRoomAvailabilityScreen,C,3.99
DeleteReservationByID,B,3.64
DeleteReservationScreen,B,1.0
DeleteRoomByID,D,4.87
DeleteRoomScreen,B,3.78
DeleteUserByID,B,0.95
DeleteUserScreen,D,4.83
DisplayReservationCard,D,5.81
DisplayReservationsScreen,D,0.93
DisplayRoomCard,D,4.44
DisplayRoomListScreen,D,6.73
DisplayUserCard,D,0.9
DisplayUserListScreen,A,3.13
ExitScreen,A,3.87
IsDate1BeforeDate2,A,2.89
IsTime1BeforeTime2,C,0.88
MainMenu,A,4.73
PauseProgram,D,0.93
ReadDate,C,8.07
ReadIntBetween,D,2.31
ReadReservationInfo,B,1.54
ReadReservationPeriod,D,0.92
ReadRoomInfo,D,5.77
ReadTime,D,4.2
ReadUserInfo,C,5.93
ReservationManagementMenu,A,6.36
RoomManagementMenu,C,3.02
ScreenHeader,C,5.08
SearchReservationByID,B,4.3
SearchRoomByID,B,3.67
SearchRoomByIDScreen,D,3.38
SearchRoomByName,D,1.84
SearchRoomByNameScreen,A,0.93
SearchUserByFirstName,B,2.35
SearchUserByFirstNameScreen,D,1.02
SearchUserByID,D,4.59
SearchUserByIDScreen,D,3.67
SortReservationsByDate,B,2.91
SortReservationsByDateScreen,B,5.63
SwapReservationData,C,5.72
UserManagementMenu,D,2.36
main,C,0.9

TOTAL_ELAPSED_TIME(sec),175.52
