function,answer,elapsed_time_sec
AddNewReservation,D,3.07
AddNewReservationScreen,B,2.58
AddNewRoom,C,0.89
AddNewRoomScreen,C,2.55
AddNewUser,A,0.86
AddNewUserScreen,D,2.0
CheckRoomAvailabilityScreen,C,0.85
DeleteReservationByID,B,2.87
DeleteReservationScreen,B,0.9
DeleteRoomByID,D,4.41
DeleteRoomScreen,B,5.08
DeleteUserByID,D,1.89
DeleteUserScreen,A,5.77
DisplayReservationCard,D,6.05
DisplayReservationsScreen,D,4.25
DisplayRoomCard,D,0.86
DisplayRoomListScreen,A,2.87
DisplayUserCard,D,2.48
DisplayUserListScreen,A,5.78
ExitScreen,A,5.31
IsDate1BeforeDate2,D,6.27
IsTime1BeforeTime2,C,6.6
MainMenu,C,1.7
PauseProgram,D,4.72
ReadDate,C,0.85
ReadIntBetween,D,0.87
ReadReservationInfo,B,0.9
ReadReservationPeriod,D,0.87
ReadRoomInfo,D,6.27
ReadTime,D,0.9
ReadUserInfo,C,4.55
ReservationManagementMenu,C,3.67
RoomManagementMenu,C,9.2
ScreenHeader,C,0.88
SearchReservationByID,B,2.56
SearchRoomByID,B,2.29
SearchRoomByIDScreen,B,5.17
SearchRoomByName,D,5.63
SearchRoomByNameScreen,B,0.89
SearchUserByFirstName,B,5.69
SearchUserByFirstNameScreen,A,7.51
SearchUserByID,D,4.66
SearchUserByIDScreen,D,3.72
SortReservationsByDate,B,0.86
SortReservationsByDateScreen,B,4.91
SwapReservationData,C,2.87
UserManagementMenu,D,5.17
main,D,2.87

TOTAL_ELAPSED_TIME(sec),174.1
