function,answer,elapsed_time_sec
AddNewReservation,D,4.22
AddNewReservationScreen,B,0.96
AddNewRoom,C,3.64
AddNewRoomScreen,C,2.47
AddNewUser,A,2.38
AddNewUserScreen,D,6.21
CheckRoomAvailabilityScreen,C,2.15
DeleteReservationByID,B,5.71
DeleteReservationScreen,B,0.94
DeleteRoomByID,A,3.36
DeleteRoomScreen,B,3.92
DeleteUserByID,B,1.0
DeleteUserScreen,A,0.96
DisplayReservationCard,D,7.72
DisplayReservationsScreen,D,5.72
DisplayRoomCard,D,0.97
DisplayRoomListScreen,D,5.81
DisplayUserCard,D,5.91
DisplayUserListScreen,A,3.48
ExitScreen,A,3.37
IsDate1BeforeDate2,D,5.7
IsTime1BeforeTime2,C,6.13
MainMenu,C,5.66
PauseProgram,D,4.54
ReadDate,C,2.26
ReadIntBetween,D,0.96
ReadReservationInfo,B,1.06
ReadReservationPeriod,D,2.59
ReadRoomInfo,C,1.85
ReadTime,D,1.06
ReadUserInfo,C,3.33
ReservationManagementMenu,C,1.91
RoomManagementMenu,C,1.09
ScreenHeader,C,4.07
SearchReservationByID,B,5.93
SearchRoomByID,C,2.07
SearchRoomByIDScreen,B,6.17
SearchRoomByName,D,8.46
SearchRoomByNameScreen,A,3.14
SearchUserByFirstName,C,3.78
SearchUserByFirstNameScreen,C,0.96
SearchUserByID,D,8.2
SearchUserByIDScreen,D,3.51
SortReservationsByDate,B,1.17
SortReservationsByDateScreen,B,5.9
SwapReservationData,C,2.28
UserManagementMenu,D,5.7
main,D,2.93

TOTAL_ELAPSED_TIME(sec),183.0
